         200     = number of Te values
Te [keV]
  3.03e-39  4.01e-39  5.22e-39  6.79e-39  8.81e-39  1.14e-38  1.48e-38  1.92e-38
  2.49e-38  3.20e-38  4.08e-38  5.14e-38  6.43e-38  8.01e-38  9.91e-38  1.22e-37
  1.45e-37  1.72e-37  2.01e-37  2.32e-37  2.67e-37  3.05e-37  3.47e-37  3.93e-37
  4.44e-37  4.98e-37  5.58e-37  6.11e-37  6.68e-37  7.29e-37  7.93e-37  8.62e-37
  9.36e-37  1.01e-36  1.10e-36  1.18e-36  1.26e-36  1.35e-36  1.44e-36  1.53e-36
  1.64e-36  1.74e-36  1.85e-36  1.96e-36  2.07e-36  2.19e-36  2.31e-36  2.44e-36
  2.58e-36  2.72e-36  2.87e-36  3.03e-36  3.17e-36  3.33e-36  3.48e-36  3.65e-36
  3.83e-36  4.01e-36  4.20e-36  4.40e-36  4.58e-36  4.77e-36  4.96e-36  5.15e-36
  5.36e-36  5.57e-36  5.79e-36  6.02e-36  6.26e-36  6.50e-36  6.75e-36  7.01e-36
  7.27e-36  7.55e-36  7.84e-36  8.14e-36  8.43e-36  8.68e-36  8.94e-36  9.20e-36
  9.47e-36  9.75e-36  1.00e-35  1.03e-35  1.06e-35  1.10e-35  1.13e-35  1.17e-35
  1.21e-35  1.25e-35  1.29e-35  1.33e-35  1.38e-35  1.42e-35  1.45e-35  1.49e-35
  1.53e-35  1.57e-35  1.61e-35  1.65e-35  1.69e-35  1.73e-35  1.78e-35  1.82e-35
  1.87e-35  1.92e-35  1.97e-35  2.02e-35  2.07e-35  2.12e-35  2.17e-35  2.22e-35
  2.26e-35  2.31e-35  2.37e-35  2.42e-35  2.47e-35  2.53e-35  2.57e-35  2.61e-35
  2.65e-35  2.69e-35  2.73e-35  2.77e-35  2.82e-35  2.86e-35  2.90e-35  2.95e-35
  3.00e-35  3.05e-35  3.10e-35  3.16e-35  3.21e-35  3.26e-35  3.32e-35  3.37e-35
  3.41e-35  3.46e-35  3.51e-35  3.56e-35  3.61e-35  3.66e-35  3.72e-35  3.76e-35
  3.81e-35  3.85e-35  3.90e-35  3.94e-35  3.99e-35  4.04e-35  4.09e-35  4.13e-35
  4.17e-35  4.21e-35  4.25e-35  4.29e-35  4.33e-35  4.37e-35  4.41e-35  4.45e-35
  4.48e-35  4.52e-35  4.55e-35  4.58e-35  4.62e-35  4.65e-35  4.69e-35  4.72e-35
  4.75e-35  4.77e-35  4.80e-35  4.83e-35  4.85e-35  4.88e-35  4.91e-35  4.93e-35
