SEQ='BE'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  76039261.2   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   257223.7 

   LS RESOLVED TERM INDEXING            BWNR=  82908802.3   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   202     2    2P1 7D1             (1)3( 3.0)  6624354.2 
   203     2    2P1 8S1             (3)1( 4.0)  6732168.5 
   204     2    2P1 8S1             (1)1( 1.0)  6732940.6 
   205     2    2P1 8P1             (1)1( 1.0)  6735517.7 
   206     2    2P1 8P1             (3)2( 7.0)  6736017.0 
   207     2    2P1 8P1             (3)0( 1.0)  6736765.8 
   208     2    2P1 8P1             (3)1( 4.0)  6737194.3 
   209     2    2P1 8P1             (1)2( 2.0)  6738383.0 
   210     2    2P1 8D1             (1)2( 2.0)  6738593.0 
   211     2    2P1 8D1             (3)3(10.0)  6738691.2 
   212     2    2P1 8D1             (3)2( 7.0)  6739749.1 
   213     2    2P1 8D1             (3)1( 4.0)  6740030.4 
   214     2    2P1 8F1             (1)3( 3.0)  6740121.0 
   215     2    2P1 8P1             (1)0( 0.0)  6740166.2 
   216     2    2P1 8F1             (3)3(10.0)  6740272.6 
   217     2    2P1 8F1             (3)4(13.0)  6740703.5 
   218     2    2P1 8G1             (3)3(10.0)  6740824.4 
   219     2    2P1 8G1             (1)3( 3.0)  6740824.4 
   220     2    2P1 8G1             (3)4(13.0)  6740824.4 
   221     2    2P1 8G1             (1)4( 4.0)  6740824.4 
   222     2    2P1 8G1             (3)5(16.0)  6740824.4 
   223     2    2P1 8G1             (1)5( 5.0)  6740824.4 
   224     2    2P1 8H1             (3)4(13.0)  6740894.6 
   225     2    2P1 8H1             (1)4( 4.0)  6740894.6 
   226     2    2P1 8H1             (3)5(16.0)  6740894.6 
   227     2    2P1 8H1             (1)5( 5.0)  6740894.6 
   228     2    2P1 8H1             (3)6(19.0)  6740894.6 
   229     2    2P1 8H1             (1)6( 6.0)  6740894.6 
   230     2    2P1 8I1             (3)5(16.0)  6740925.9 
   231     2    2P1 8I1             (1)5( 5.0)  6740925.9 
   232     2    2P1 8I1             (3)6(19.0)  6740925.9 
   233     2    2P1 8I1             (1)6( 6.0)  6740925.9 
   234     2    2P1 8I1             (3)7(22.0)  6740925.9 
   235     2    2P1 8I1             (1)7( 7.0)  6740925.9 
   236     2    2P1 8J1             (3)6(19.0)  6740941.9 
   237     2    2P1 8J1             (1)6( 6.0)  6740941.9 
   238     2    2P1 8J1             (3)7(22.0)  6740941.9 
