SEQ='N '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  94468457.0   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   170     4    2S1 2P3 5S1         (6)0( 2.5)  4466763.9 
   171     3    2S2 2P2 5D1         (2)2( 4.5)  4474632.7 
   172     4    2S1 2P3 5S1         (4)0( 1.5)  4476255.2 
   173     3    2S2 2P2 5F1         (2)3( 6.5)  4487628.0 
   174     3    2S2 2P2 5G1         (2)4( 8.5)  4487947.1 
   175     4    2S1 2P3 5P1         (6)1( 8.5)  4492354.6 
   176     4    2S1 2P3 5P1         (4)1( 5.5)  4501579.5 
   177     1    2S2 2P2 6S1         (4)1( 5.5)  4506755.4 
   178     1    2S2 2P2 6S1         (2)1( 2.5)  4509114.6 
   179     8    2S1 2P3 4P1         (4)1( 5.5)  4512425.6 
   180     4    2S1 2P3 5D1         (6)2(14.5)  4518127.8 
   181     1    2S2 2P2 6P1         (2)0( 0.5)  4519295.1 
   182     1    2S2 2P2 6P1         (4)2( 9.5)  4520627.2 
   183     1    2S2 2P2 6P1         (4)1( 5.5)  4521515.1 
   184     1    2S2 2P2 6P1         (2)2( 4.5)  4524702.2 
   185     1    2S2 2P2 6P1         (4)0( 1.5)  4524706.5 
   186     1    2S2 2P2 6P1         (2)1( 2.5)  4526653.8 
   187     4    2S1 2P3 5D1         (4)2( 9.5)  4530461.1 
   188     4    2S1 2P3 5F1         (6)3(20.5)  4534914.0 
   189     1    2S2 2P2 6D1         (4)3(13.5)  4535427.3 
   190     4    2S1 2P3 5G1         (6)4(26.5)  4535890.4 
   191     4    2S1 2P3 5G1         (4)4(17.5)  4535890.4 
   192     4    2S1 2P3 5F1         (4)3(13.5)  4536613.7 
   193     1    2S2 2P2 6D1         (4)2( 9.5)  4536648.8 
   194     1    2S2 2P2 6D1         (2)1( 2.5)  4537188.8 
   195     1    2S2 2P2 6D1         (4)1( 5.5)  4538436.7 
   196     1    2S2 2P2 6D1         (2)3( 6.5)  4540269.9 
   197     1    2S2 2P2 6D1         (2)2( 4.5)  4542976.4 
   198     1    2S2 2P2 6F1         (4)2( 9.5)  4544684.4 
   199     1    2S2 2P2 6F1         (4)4(17.5)  4544730.0 
   200     1    2S2 2P2 6F1         (2)2( 4.5)  4544744.0 
   201     1    2S2 2P2 6F1         (2)4( 8.5)  4545415.4 
   202     1    2S2 2P2 6G1         (4)3(13.5)  4545682.9 
   203     1    2S2 2P2 6G1         (2)3( 6.5)  4545682.9 
   204     1    2S2 2P2 6G1         (4)4(17.5)  4545682.9 
   205     1    2S2 2P2 6G1         (2)4( 8.5)  4545682.9 
   206     1    2S2 2P2 6G1         (4)5(21.5)  4545682.9 
   207     1    2S2 2P2 6G1         (2)5(10.5)  4545682.9 
   208     1    2S2 2P2 6F1         (4)3(13.5)  4545907.0 
   209     1    2S2 2P2 6H1         (4)4(17.5)  4545994.0 
   210     1    2S2 2P2 6H1         (2)4( 8.5)  4545994.0 
   211     1    2S2 2P2 6H1         (4)5(21.5)  4545994.0 
   212     1    2S2 2P2 6H1         (2)5(10.5)  4545994.0 
   213     1    2S2 2P2 6H1         (4)6(25.5)  4545994.0 
   214     1    2S2 2P2 6H1         (2)6(12.5)  4545994.0 
   215     1    2S2 2P2 6F1         (2)3( 6.5)  4546838.2 
   216     2    2S2 2P2 6S1         (2)2( 4.5)  4575690.7 
   217     2    2S2 2P2 6P1         (2)3( 6.5)  4589898.3 
   218     2    2S2 2P2 6P1         (2)2( 4.5)  4590919.6 
   219     2    2S2 2P2 6P1         (2)1( 2.5)  4592617.5 
   220     2    2S2 2P2 6D1         (2)4( 8.5)  4605241.6 
   221     2    2S2 2P2 6D1         (2)3( 6.5)  4605436.6 
   222     2    2S2 2P2 6D1         (2)2( 4.5)  4606552.5 
   223     2    2S2 2P2 6D1         (2)1( 2.5)  4608104.6 
   224     2    2S2 2P2 6D1         (2)0( 0.5)  4608964.6 
   225     2    2S2 2P2 6F1         (2)4( 8.5)  4612570.2 
   226     2    2S2 2P2 6F1         (2)3( 6.5)  4612864.8 
   227     2    2S2 2P2 6G1         (2)2( 4.5)  4613831.8 
   228     2    2S2 2P2 6G1         (2)3( 6.5)  4613831.8 
   229     2    2S2 2P2 6G1         (2)4( 8.5)  4613831.8 
