SEQ='B '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83257501.5   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   169     1    2S2 5G1             (1)*( 3.5)  5214058.7 
   170     1    2S2 5G1             (1)*( 4.5)  5214058.7 
   171     8    2P2 4P1             (2)1( 0.5)  5318460.8 
   172     8    2P2 4P1             (2)1( 1.5)  5319660.0 
   173     8    2P2 4D1             (2)2( 1.5)  5362751.6 
   174     8    2P2 4D1             (2)2( 2.5)  5364637.7 
   175     2    2S1 2P1 5S1         (4)1( 0.5)  5393026.8 
   176     3    2S1 2P1 5S1         (4)1( 1.5)  5399670.8 
   177     3    2S1 2P1 5S1         (2)1( 0.5)  5405560.4 
   178     2    2S1 2P1 5P1         (4)2( 0.5)  5414053.7 
   179     4    2S1 2P1 5S1         (4)1( 2.5)  5414638.6 
   180     9    2P2 4D1             (2)2( 1.5)  5416451.3 
   181     2    2S1 2P1 5P1         (4)2( 1.5)  5417188.6 
   182     4    2S1 2P1 5S1         (2)1( 1.5)  5421691.8 
   183     3    2S1 2P1 5P1         (2)1( 1.5)  5421716.0 
   184     3    2S1 2P1 5P1         (4)2( 2.5)  5423353.6 
   185     3    2S1 2P1 5P1         (2)1( 0.5)  5424469.8 
   186     3    2S1 2P1 5P1         (4)1( 0.5)  5426401.0 
   187     9    2P2 4F1             (2)3( 2.5)  5427878.5 
   188     3    2S1 2P1 5P1         (2)2( 1.5)  5428181.1 
   189     9    2P2 4F1             (2)3( 3.5)  5428204.9 
   190     2    2S1 2P1 5D1         (4)3( 1.5)  5432872.6 
   191     2    2S1 2P1 5D1         (4)3( 2.5)  5435214.9 
   192     4    2S1 2P1 5P1         (4)2( 3.5)  5436931.8 
   193     4    2S1 2P1 5P1         (4)1( 1.5)  5439619.0 
   194     4    2S1 2P1 5P1         (4)1( 2.5)  5440229.2 
   195     4    2S1 2P1 5P1         (4)0( 1.5)  5440479.0 
   196     3    2S1 2P1 5D1         (4)1( 2.5)  5440858.7 
   197     3    2S1 2P1 5D1         (4)3( 3.5)  5440977.5 
   198     3    2S1 2P1 5D1         (4)2( 1.5)  5442695.6 
   199     3    2S1 2P1 5D1         (4)2( 0.5)  5443594.4 
   200     2    2S1 2P1 5F1         (4)4( 2.5)  5445160.6 
   201     4    2S1 2P1 5P1         (2)2( 2.5)  5445436.5 
   202     2    2S1 2P1 5F1         (4)2( 3.5)  5445579.4 
   203     3    2S1 2P1 5D1         (2)2( 1.5)  5446047.9 
   204     1    2S2 6S1             (2)0( 0.5)  5446354.8 
   205     2    2S1 2P1 5G1         (1)*( 3.5)  5446392.5 
   206     2    2S1 2P1 5G1         (1)*( 4.5)  5446392.5 
   207     3    2S1 2P1 5D1         (2)3( 2.5)  5448547.9 
   208     4    2S1 2P1 5P1         (2)0( 0.5)  5448926.2 
   209     3    2S1 2P1 5F1         (4)3( 1.5)  5451568.3 
   210     3    2S1 2P1 5F1         (2)3( 2.5)  5451836.1 
   211     3    2S1 2P1 5F1         (4)4( 4.5)  5452037.2 
   212     3    2S1 2P1 5F1         (4)4( 3.5)  5452121.9 
   213     3    2S1 2P1 5G1         (1)*( 2.5)  5453529.1 
   214     3    2S1 2P1 5G1         (1)*( 3.5)  5453529.1 
   215     3    2S1 2P1 5G1         (1)*( 4.5)  5453529.1 
   216     3    2S1 2P1 5G1         (1)*( 3.5)  5453529.1 
   217     3    2S1 2P1 5G1         (1)*( 4.5)  5453529.1 
   218     3    2S1 2P1 5G1         (1)*( 5.5)  5453529.1 
   219     3    2S1 2P1 5F1         (4)2( 2.5)  5453750.8 
   220     4    2S1 2P1 5D1         (4)3( 4.5)  5454032.1 
   221     3    2S1 2P1 5F1         (2)4( 3.5)  5454155.0 
   222     4    2S1 2P1 5D1         (4)2( 3.5)  5456871.3 
   223     4    2S1 2P1 5D1         (4)2( 2.5)  5458093.3 
   224     4    2S1 2P1 5D1         (4)1( 1.5)  5458856.1 
   225     4    2S1 2P1 5D1         (4)1( 0.5)  5459173.8 
   226     1    2S2 6P1             (2)1( 0.5)  5459614.7 
   227     1    2S2 6P1             (2)1( 1.5)  5460329.5 
   228     4    2S1 2P1 5D1         (2)2( 2.5)  5461523.4 
   229     4    2S1 2P1 5D1         (2)1( 1.5)  5464852.5 
   230     4    2S1 2P1 5D1         (2)3( 3.5)  5467135.4 
   231     4    2S1 2P1 5F1         (4)3( 4.5)  5467216.1 
   232     4    2S1 2P1 5F1         (4)3( 3.5)  5467361.5 
   233     4    2S1 2P1 5F1         (4)3( 2.5)  5467988.4 
   234     4    2S1 2P1 5F1         (4)4( 5.5)  5468343.4 
