SEQ='B '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  82908802.3   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   229492.2 
     3          2S1 2P1             (1)1( 1.0)   445183.5*
     4          2P2                 (3)1( 4.0)   589717.3*
     5          2P2                 (1)2( 2.0)   662055.2*
     6          2P2                 (1)0( 0.0)   815843.3*

   LS RESOLVED TERM INDEXING            BWNR=  88960077.3   NTRM= 278
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   215     3    2S1 2P1 6D1         (2)3( 6.5)  5892701.3 
   216     3    2S1 2P1 6D1         (2)1( 2.5)  5894947.9 
   217     3    2S1 2P1 6F1         (2)3( 6.5)  5896961.9 
   218     3    2S1 2P1 6F1         (2)4( 8.5)  5898418.1 
   219     2    2S1 2P1 8S1         (4)1( 5.5)  5932104.1 
   220     2    2S1 2P1 8S1         (2)1( 2.5)  5933837.1 
   221     2    2S1 2P1 8P1         (4)2( 9.5)  5937071.7 
   222     2    2S1 2P1 8P1         (2)1( 2.5)  5937459.8 
   223     2    2S1 2P1 8P1         (4)0( 1.5)  5937754.8 
   224     2    2S1 2P1 8P1         (4)1( 5.5)  5938216.9 
   225     2    2S1 2P1 8P1         (2)2( 4.5)  5939199.2 
   226     2    2S1 2P1 8P1         (2)0( 0.5)  5940601.6 
   227     2    2S1 2P1 8D1         (4)3(13.5)  5940972.5 
   228     2    2S1 2P1 8D1         (4)2( 9.5)  5941971.2 
   229     2    2S1 2P1 8D1         (2)2( 4.5)  5942118.3 
   230     2    2S1 2P1 8D1         (4)1( 5.5)  5942216.2 
   231     2    2S1 2P1 8F1         (4)3(13.5)  5943752.6 
   232     2    2S1 2P1 8F1         (2)3( 6.5)  5943947.8 
   233     2    2S1 2P1 8F1         (4)4(17.5)  5944152.3 
   234     2    2S1 2P1 8D1         (2)3( 6.5)  5944186.1 
   235     2    2S1 2P1 8D1         (2)1( 2.5)  5944436.9 
   236     2    2S1 2P1 8G1         (4)3(13.5)  5944502.7 
   237     2    2S1 2P1 8G1         (2)3( 6.5)  5944502.7 
   238     2    2S1 2P1 8G1         (4)4(17.5)  5944502.7 
   239     2    2S1 2P1 8G1         (2)4( 8.5)  5944502.7 
   240     2    2S1 2P1 8G1         (4)5(21.5)  5944502.7 
   241     2    2S1 2P1 8G1         (2)5(10.5)  5944502.7 
   242     2    2S1 2P1 8F1         (4)2( 9.5)  5944557.9 
   243     2    2S1 2P1 8H1         (4)4(17.5)  5944596.5 
   244     2    2S1 2P1 8H1         (2)4( 8.5)  5944596.5 
   245     2    2S1 2P1 8H1         (4)5(21.5)  5944596.5 
   246     2    2S1 2P1 8H1         (2)5(10.5)  5944596.5 
   247     2    2S1 2P1 8H1         (4)6(25.5)  5944596.5 
   248     2    2S1 2P1 8H1         (2)6(12.5)  5944596.5 
   249     2    2S1 2P1 8I1         (4)5(21.5)  5944638.4 
   250     2    2S1 2P1 8I1         (2)5(10.5)  5944638.4 
   251     2    2S1 2P1 8I1         (4)6(25.5)  5944638.4 
   252     2    2S1 2P1 8I1         (2)6(12.5)  5944638.4 
   253     2    2S1 2P1 8I1         (4)7(29.5)  5944638.4 
   254     2    2S1 2P1 8I1         (2)7(14.5)  5944638.4 
   255     2    2S1 2P1 8J1         (4)6(25.5)  5944659.8 
   256     2    2S1 2P1 8J1         (2)6(12.5)  5944659.8 
   257     2    2S1 2P1 8J1         (4)7(29.5)  5944659.8 
   258     2    2S1 2P1 8J1         (2)7(14.5)  5944659.8 
   259     2    2S1 2P1 8J1         (4)8(33.5)  5944659.8 
   260     2    2S1 2P1 8J1         (2)8(16.5)  5944659.8 
   261     2    2S1 2P1 8F1         (2)4( 8.5)  5944898.7 
   262     2    2S1 2P1 8F1         (2)2( 4.5)  5945098.6 
   263     3    2S1 2P1 7S1         (2)1( 2.5)  6039470.5 
   264     3    2S1 2P1 7P1         (2)2( 4.5)  6047130.3 
   265     3    2S1 2P1 7P1         (2)1( 2.5)  6047425.2 
   266     3    2S1 2P1 7P1         (2)0( 0.5)  6048541.7 
   267     3    2S1 2P1 7D1         (2)2( 4.5)  6053522.0*
