SEQ='O '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  99453731.9   NPRNTI= 3   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   230     2    2S2 2P3 6F1         (3)4(13.0)  4061090.6 
   231     2    2S2 2P3 6F1         (3)5(16.0)  4061188.3 
   232     2    2S2 2P3 6F1         (3)3(10.0)  4061200.9 
   233     2    2S2 2P3 6F1         (1)1( 1.0)  4061216.5 
   234     2    2S2 2P3 6F1         (1)5( 5.0)  4061247.4 
   235     2    2S2 2P3 6F1         (3)2( 7.0)  4061328.8 
   236     2    2S2 2P3 6F1         (1)2( 2.0)  4061477.8 
   237     2    2S2 2P3 6G1         (3)2( 7.0)  4061480.9 
   238     2    2S2 2P3 6G1         (1)2( 2.0)  4061480.9 
   239     2    2S2 2P3 6G1         (3)3(10.0)  4061480.9 
   240     2    2S2 2P3 6G1         (1)3( 3.0)  4061480.9 
   241     2    2S2 2P3 6G1         (3)4(13.0)  4061480.9 
   242     2    2S2 2P3 6G1         (1)4( 4.0)  4061480.9 
   243     2    2S2 2P3 6G1         (3)5(16.0)  4061480.9 
   244     2    2S2 2P3 6G1         (1)5( 5.0)  4061480.9 
   245     2    2S2 2P3 6G1         (3)6(19.0)  4061480.9 
   246     2    2S2 2P3 6G1         (1)6( 6.0)  4061480.9 
   247     2    2S2 2P3 6F1         (3)1( 4.0)  4061509.0 
   248     2    2S2 2P3 6F1         (1)3( 3.0)  4061779.0 
   249     2    2S2 2P3 6F1         (1)4( 4.0)  4061787.7 
   250     2    2S2 2P3 6H1         (3)3(10.0)  4061820.1 
   251     2    2S2 2P3 6H1         (1)3( 3.0)  4061820.1 
   252     2    2S2 2P3 6H1         (3)4(13.0)  4061820.1 
   253     2    2S2 2P3 6H1         (1)4( 4.0)  4061820.1 
   254     2    2S2 2P3 6H1         (3)5(16.0)  4061820.1 
   255     2    2S2 2P3 6H1         (1)5( 5.0)  4061820.1 
   256     2    2S2 2P3 6H1         (3)6(19.0)  4061820.1 
   257     2    2S2 2P3 6H1         (1)6( 6.0)  4061820.1 
   258     2    2S2 2P3 6H1         (3)7(22.0)  4061820.1 
   259     2    2S2 2P3 6H1         (1)7( 7.0)  4061820.1 
   260     3    2S2 2P3 6S1         (3)1( 4.0)  4065786.8 
   261     3    2S2 2P3 6S1         (1)1( 1.0)  4067236.0 
   262     3    2S2 2P3 6P1         (3)0( 1.0)  4079765.1 
   263     3    2S2 2P3 6P1         (3)2( 7.0)  4080286.1 
   264     3    2S2 2P3 6P1         (1)1( 1.0)  4080702.5 
   265     3    2S2 2P3 6P1         (3)1( 4.0)  4082309.9 
   266     3    2S2 2P3 6P1         (1)2( 2.0)  4083284.1 
   267     3    2S2 2P3 6P1         (1)0( 0.0)  4089814.0 
   268     3    2S2 2P3 6D1         (3)3(10.0)  4096993.9 
   269     3    2S2 2P3 6D1         (3)1( 4.0)  4097547.4 
   270     3    2S2 2P3 6D1         (1)2( 2.0)  4098014.7 
   271     3    2S2 2P3 6D1         (3)2( 7.0)  4098851.5 
   272     3    2S2 2P3 6D1         (1)3( 3.0)  4100450.7 
   273     3    2S2 2P3 6D1         (1)1( 1.0)  4103703.8 
   274     3    2S2 2P3 6F1         (3)4(13.0)  4105863.1 
   275     3    2S2 2P3 6F1         (3)2( 7.0)  4105935.5 
   276     3    2S2 2P3 6F1         (1)3( 3.0)  4105999.8 
   277     3    2S2 2P3 6F1         (3)3(10.0)  4106057.6 
   278     3    2S2 2P3 6G1         (3)3(10.0)  4106178.4 
   279     3    2S2 2P3 6G1         (1)3( 3.0)  4106178.4 
   280     3    2S2 2P3 6G1         (3)4(13.0)  4106178.4 
   281     3    2S2 2P3 6G1         (1)4( 4.0)  4106178.4 
   282     3    2S2 2P3 6G1         (3)5(16.0)  4106178.4 
   283     3    2S2 2P3 6G1         (1)5( 5.0)  4106178.4 
   284     3    2S2 2P3 6F1         (1)4( 4.0)  4106284.4 
   285     3    2S2 2P3 6H1         (3)4(13.0)  4106517.5 
   286     3    2S2 2P3 6H1         (1)4( 4.0)  4106517.5 
   287     3    2S2 2P3 6H1         (3)5(16.0)  4106517.5 
   288     3    2S2 2P3 6H1         (1)5( 5.0)  4106517.5 
   289     3    2S2 2P3 6H1         (3)6(19.0)  4106517.5 
   290     3    2S2 2P3 6H1         (1)6( 6.0)  4106517.5 
   291     3    2S2 2P3 6F1         (1)2( 2.0)  4106563.3 
   292     1    2S2 2P3 8S1         (5)0( 2.0)  4107149.8 
   293     1    2S2 2P3 8S1         (3)0( 1.0)  4108292.7 
   294     1    2S2 2P3 8P1         (5)1( 7.0)  4113181.0 
   295     1    2S2 2P3 8P1         (3)1( 4.0)  4114887.0 
   296     1    2S2 2P3 8D1         (5)2(12.0)  4119949.7 
   297     1    2S2 2P3 8D1         (3)2( 7.0)  4121978.7 
   298     1    2S2 2P3 8F1         (5)3(17.0)  4123819.0 
   299     1    2S2 2P3 8G1         (5)4(22.0)  4124049.8 
   300     1    2S2 2P3 8G1         (3)4(13.0)  4124049.8 
   301     1    2S2 2P3 8F1         (3)3(10.0)  4124107.0 
   302     1    2S2 2P3 8H1         (5)5(27.0)  4124192.8 
   303     1    2S2 2P3 8H1         (3)5(16.0)  4124192.8 
