SEQ='AL'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 113193148.8   NPRNTI= 2   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
   259     2    3S1 3P1 8F1         (4)4(17.5)   782005.8*
   260     2    3S1 3P1 8F1         (4)2( 9.5)   782460.9*
   261     2    3S1 3P1 8G1         (4)3(13.5)   782832.6*
   262     2    3S1 3P1 8G1         (2)3( 6.5)   782832.6*
   263     2    3S1 3P1 8G1         (4)4(17.5)   782832.6*
   264     2    3S1 3P1 8G1         (2)4( 8.5)   782832.6*
   265     2    3S1 3P1 8G1         (4)5(21.5)   782832.6*
   266     2    3S1 3P1 8G1         (2)5(10.5)   782832.6*
   267     2    3S1 3P1 8H1         (4)4(17.5)   782952.0*
   268     2    3S1 3P1 8H1         (2)4( 8.5)   782952.0*
   269     2    3S1 3P1 8H1         (4)5(21.5)   782952.0*
   270     2    3S1 3P1 8H1         (2)5(10.5)   782952.0*
   271     2    3S1 3P1 8H1         (4)6(25.5)   782952.0*
   272     2    3S1 3P1 8H1         (2)6(12.5)   782952.0*
   273     2    3S1 3P1 8I1         (4)5(21.5)   783005.3*
   274     2    3S1 3P1 8I1         (2)5(10.5)   783005.3*
   275     2    3S1 3P1 8I1         (4)6(25.5)   783005.3*
   276     2    3S1 3P1 8I1         (2)6(12.5)   783005.3*
   277     2    3S1 3P1 8I1         (4)7(29.5)   783005.3*
   278     2    3S1 3P1 8I1         (2)7(14.5)   783005.3*
   279     2    3S1 3P1 8F1         (2)4( 8.5)   783032.0*
   280     2    3S1 3P1 8J1         (4)6(25.5)   783032.4*
   281     2    3S1 3P1 8J1         (2)6(12.5)   783032.4*
   282     2    3S1 3P1 8J1         (4)7(29.5)   783032.4*
   283     2    3S1 3P1 8J1         (2)7(14.5)   783032.4*
   284     2    3S1 3P1 8J1         (4)8(33.5)   783032.4*
   285     2    3S1 3P1 8J1         (2)8(16.5)   783032.4*
   286     2    3S1 3P1 8F1         (2)2( 4.5)   783199.7*
   287     3    3S1 3P1 6D1         (2)2( 4.5)   784964.0*
   288     3    3S1 3P1 6D1         (2)3( 6.5)   785655.0*
   289     3    3S1 3P1 6D1         (2)1( 2.5)   786313.3*
   290     9    3P1 3D1 4S1         (4)3(13.5)   788205.6*
   291     3    3S1 3P1 6F1         (2)3( 6.5)   791720.6*
   292     3    3S1 3P1 6F1         (2)4( 8.5)   792371.5*
   293     3    3S1 3P1 6F1         (2)2( 4.5)   793104.8*
   294    10    3P1 3D1 4S1         (2)2( 4.5)   795436.8*
   295     9    3P1 3D1 4S1         (2)3( 6.5)   795960.6*
   296     3    3S1 3P1 7S1         (2)1( 2.5)   801663.1*
   297     3    3S1 3P1 7P1         (2)2( 4.5)   808200.4*
   298     3    3S1 3P1 7P1         (2)1( 2.5)   808224.5*
   299     3    3S1 3P1 7P1         (2)0( 0.5)   808965.4*
   300    11    3P1 3D1 4S1         (4)1( 5.5)   817423.4*
   301     3    3S1 3P1 7D1         (2)2( 4.5)   817539.9*
   302     3    3S1 3P1 7D1         (2)3( 6.5)   817962.4*
   303     3    3S1 3P1 7D1         (2)1( 2.5)   818350.9*
   304    12    3P1 3D1 4S1         (4)2( 9.5)   819966.7*
   305     3    3S1 3P1 7F1         (2)3( 6.5)   821702.9*
   306     3    3S1 3P1 7F1         (2)4( 8.5)   822091.5*
   307     3    3S1 3P1 7F1         (2)2( 4.5)   822535.4*
   308     9    3P1 3D1 4P1         (2)3( 6.5)   824680.6*
   309    11    3P1 3D1 4S1         (2)1( 2.5)   825213.1*
   310    12    3P1 3D1 4S1         (2)2( 4.5)   827754.2*
   311     9    3P1 3D1 4P1         (4)4(17.5)   827896.9*
   312     3    3S1 3P1 8S1         (2)1( 2.5)   828058.2*
   313     9    3P1 3D1 4P1         (4)3(13.5)   831184.2*
   314     3    3S1 3P1 8P1         (2)2( 4.5)   832273.6*
   315     3    3S1 3P1 8P1         (2)1( 2.5)   832280.2*
   316     3    3S1 3P1 8P1         (2)0( 0.5)   832756.1*
   317     9    3P1 3D1 4P1         (2)2( 4.5)   834109.2*
   318     3    3S1 3P1 8D1         (2)2( 4.5)   838349.8*
   319     9    3P1 3D1 4P1         (4)2( 9.5)   838415.6*
   320     3    3S1 3P1 8D1         (2)3( 6.5)   838626.1*
   321     3    3S1 3P1 8D1         (2)1( 2.5)   838875.5*
   322    10    3P1 3D1 4P1         (2)1( 2.5)   839791.8*
   323     3    3S1 3P1 8F1         (2)3( 6.5)   841097.6*
   324     3    3S1 3P1 8F1         (2)4( 8.5)   841349.4*
   325     3    3S1 3P1 8F1         (2)2( 4.5)   841638.7*
   326    10    3P1 3D1 4P1         (2)3( 6.5)   842609.9*

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (1S)  SPNPRT= 1

   INDX TE=  3.60E+02  7.20E+02  1.80E+03  3.60E+03  7.20E+03  1.80E+04  3.60E+04  7.20E+04  1.80E+05  3.60E+05
   ---- ---  7.20E+05  1.80E+06  3.60E+06  7.20E+06  1.80E+07  3.60E+07  7.20E+07  1.80E+08  3.60E+08
     1       6.71E-12  4.74E-12  3.00E-12  2.13E-12  1.51E-12  9.64E-13  6.93E-13  5.05E-13  3.43E-13  2.62E-13
             2.01E-13  1.34E-13  9.05E-14  5.53E-14  2.46E-14  1.19E-14  5.27E-15  1.62E-15  6.29E-16
     3       3.29E-12  2.33E-12  1.47E-12  1.04E-12  7.28E-13  4.53E-13  3.12E-13  2.10E-13  1.17E-13  7.03E-14
             3.92E-14  1.59E-14  7.29E-15  3.12E-15  9.33E-16  3.56E-16  1.32E-16  3.46E-17  1.24E-17
     4       1.60E-14  1.13E-14  7.15E-15  5.07E-15  3.61E-15  2.33E-15  1.70E-15  1.27E-15  9.38E-16  8.07E-16
