SEQ='F '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 103785549.2   NPRNTI= 3   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)    64193.9 
     3          2S2 2P4             (1)0( 0.0)   131593.9 
     4          2S1 2P5             (3)1( 4.0)   516230.0*
     5          2S1 2P5             (1)1( 1.0)   718771.6*
     6          2P6                 (1)0( 0.0)  1225436.6*

   LS RESOLVED TERM INDEXING            BWNR= 107642136.0   NTRM= 340
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   255     1    2S2 2P4 8I1         (2)5(10.5)  3685029.8 
   256     1    2S2 2P4 8I1         (4)6(25.5)  3685029.8 
   257     1    2S2 2P4 8I1         (2)6(12.5)  3685029.8 
   258     1    2S2 2P4 8I1         (4)7(29.5)  3685029.8 
   259     1    2S2 2P4 8I1         (2)7(14.5)  3685029.8 
   260     1    2S2 2P4 8J1         (4)6(25.5)  3685063.9 
   261     1    2S2 2P4 8J1         (2)6(12.5)  3685063.9 
   262     1    2S2 2P4 8J1         (4)7(29.5)  3685063.9 
   263     1    2S2 2P4 8J1         (2)7(14.5)  3685063.9 
   264     1    2S2 2P4 8J1         (4)8(33.5)  3685063.9 
   265     1    2S2 2P4 8J1         (2)8(16.5)  3685063.9 
   266     1    2S2 2P4 8F1         (2)2( 4.5)  3685108.8 
   267     2    2S2 2P4 7D1         (2)4( 8.5)  3690966.7 
   268     2    2S2 2P4 7D1         (2)0( 0.5)  3691858.9 
   269     2    2S2 2P4 7D1         (2)3( 6.5)  3692050.5 
   270     2    2S2 2P4 7D1         (2)1( 2.5)  3692094.0 
   271     2    2S2 2P4 7D1         (2)2( 4.5)  3692260.7 
   272     2    2S2 2P4 7F1         (2)1( 2.5)  3695790.0 
   273     2    2S2 2P4 7F1         (2)5(10.5)  3696039.1 
   274     2    2S2 2P4 7F1         (2)2( 4.5)  3696238.7 
   275     2    2S2 2P4 7G1         (2)2( 4.5)  3696366.4 
   276     2    2S2 2P4 7G1         (2)3( 6.5)  3696366.4 
   277     2    2S2 2P4 7G1         (2)4( 8.5)  3696366.4 
   278     2    2S2 2P4 7G1         (2)5(10.5)  3696366.4 
   279     2    2S2 2P4 7G1         (2)6(12.5)  3696366.4 
   280     2    2S2 2P4 7H1         (2)3( 6.5)  3696589.4 
   281     2    2S2 2P4 7H1         (2)4( 8.5)  3696589.4 
   282     2    2S2 2P4 7H1         (2)5(10.5)  3696589.4 
   283     2    2S2 2P4 7H1         (2)6(12.5)  3696589.4 
   284     2    2S2 2P4 7H1         (2)7(14.5)  3696589.4 
   285     2    2S2 2P4 7F1         (2)3( 6.5)  3696648.2 
   286     2    2S2 2P4 7I1         (2)4( 8.5)  3696689.0 
   287     2    2S2 2P4 7I1         (2)5(10.5)  3696689.0 
   288     2    2S2 2P4 7I1         (2)6(12.5)  3696689.0 
   289     2    2S2 2P4 7I1         (2)7(14.5)  3696689.0 
