SEQ='BE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  76358438.3   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   262317.2 
     3          2P1                 (2)1( 1.5)   286598.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  83257501.5   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   217     2    2P1 6P1             (3)2( 1.0)  6461948.9 
   218     2    2P1 6P1             (3)1( 1.0)  6464798.3 
   219     2    2P1 6P1             (3)2( 2.0)  6465167.6 
   220     2    2P1 6P1             (3)1( 0.0)  6467193.0 
   221     2    2P1 6D1             (3)3( 2.0)  6469551.5 
   222     2    2P1 6D1             (3)1( 2.0)  6472153.7 
   223     2    2P1 6D1             (3)3( 3.0)  6472501.7 
   224     2    2P1 6D1             (3)2( 1.0)  6473733.0 
   225     2    2P1 6F1             (3)4( 3.0)  6474342.1 
   226     2    2P1 6F1             (3)2( 3.0)  6474819.3 
   227     2    2P1 6F1             (3)3( 2.0)  6475023.0 
   228     2    2P1 6F1             (3)4( 4.0)  6475032.2 
   229     2    2P1 6G1             (1)*( 3.0)  6475178.2 
   230     2    2P1 6G1             (1)*( 4.0)  6475178.2 
   231     2    2P1 6G1             (1)*( 4.0)  6475178.2 
   232     2    2P1 6G1             (1)*( 5.0)  6475178.2 
   233     2    2P1 6H1             (1)*( 4.0)  6475344.5 
   234     2    2P1 6H1             (1)*( 5.0)  6475344.5 
   235     2    2P1 6H1             (1)*( 5.0)  6475344.5 
   236     2    2P1 6H1             (1)*( 6.0)  6475344.5 
   237     3    2P1 6S1             (3)1( 2.0)  6477185.7 
   238     3    2P1 6S1             (1)1( 1.0)  6478499.2 
   239     3    2P1 6P1             (1)1( 1.0)  6486833.8 
   240     3    2P1 6P1             (3)2( 3.0)  6487256.8 
   241     3    2P1 6P1             (3)1( 2.0)  6488737.8 
   242     3    2P1 6P1             (3)0( 1.0)  6488897.5 
   243     3    2P1 6P1             (1)2( 2.0)  6491723.4 
   244     3    2P1 6D1             (3)3( 4.0)  6493992.7 
   245     3    2P1 6D1             (1)2( 2.0)  6494268.4 
   246     3    2P1 6P1             (1)0( 0.0)  6495570.8 
   247     3    2P1 6D1             (3)2( 3.0)  6495594.7 
   248     3    2P1 6D1             (3)2( 2.0)  6496680.0 
   249     3    2P1 6D1             (3)1( 1.0)  6496917.8 
   250     3    2P1 6D1             (3)1( 0.0)  6497076.1 
   251     3    2P1 6F1             (1)3( 3.0)  6498000.4 
   252     3    2P1 6F1             (3)3( 4.0)  6498321.3 
   253     3    2P1 6F1             (3)3( 3.0)  6498936.8 
   254     3    2P1 6F1             (3)2( 2.0)  6499088.3 
   255     3    2P1 6F1             (3)4( 5.0)  6499104.5 
   256     3    2P1 6G1             (1)*( 2.0)  6499459.3 
   257     3    2P1 6G1             (1)*( 3.0)  6499459.3 
   258     3    2P1 6G1             (1)*( 4.0)  6499459.3 
   259     3    2P1 6G1             (1)*( 5.0)  6499459.3 
   260     3    2P1 6G1             (1)*( 3.0)  6499459.3 
   261     3    2P1 6G1             (1)*( 4.0)  6499459.3 
   262     3    2P1 6G1             (1)*( 5.0)  6499459.3 
   263     3    2P1 6G1             (1)*( 6.0)  6499459.3 
   264     3    2P1 6H1             (1)*( 3.0)  6499625.6 
   265     3    2P1 6H1             (1)*( 4.0)  6499625.6 
   266     3    2P1 6H1             (1)*( 5.0)  6499625.6 
   267     3    2P1 6H1             (1)*( 6.0)  6499625.6 
   268     3    2P1 6H1             (1)*( 4.0)  6499625.6 
   269     3    2P1 6H1             (1)*( 5.0)  6499625.6 
   270     3    2P1 6H1             (1)*( 6.0)  6499625.6 
   271     3    2P1 6H1             (1)*( 7.0)  6499625.6 
   272     3    2P1 6D1             (1)3( 3.0)  6500029.0 
   273     3    2P1 6F1             (1)4( 4.0)  6500037.4 
   274     3    2P1 6F1             (3)2( 1.0)  6500091.4 
   275     3    2P1 6D1             (1)1( 1.0)  6500345.1 
   276     3    2P1 6F1             (1)2( 2.0)  6500642.5 
   277     1    2S1 8S1             (3)0( 1.0)  6503008.2 
   278     1    2S1 8S1             (1)0( 0.0)  6504696.0 
   279     1    2S1 8P1             (3)1( 0.0)  6507935.0 
   280     1    2S1 8P1             (3)1( 1.0)  6508015.4 
   281     1    2S1 8P1             (3)1( 2.0)  6508273.2 
   282     1    2S1 8P1             (1)1( 1.0)  6508834.8 
   283     1    2S1 8D1             (3)2( 1.0)  6511069.5 
   284     1    2S1 8D1             (3)2( 2.0)  6511109.8 
   285     1    2S1 8D1             (3)2( 3.0)  6511175.3 
   286     1    2S1 8D1             (1)2( 2.0)  6512488.6 
   287     1    2S1 8F1             (3)3( 2.0)  6512703.0 
   288     1    2S1 8F1             (3)3( 3.0)  6512723.8 
   289     1    2S1 8F1             (3)3( 4.0)  6512754.7 
   290     1    2S1 8G1             (1)*( 3.0)  6513122.8 
   291     1    2S1 8G1             (1)*( 4.0)  6513122.8 
   292     1    2S1 8G1             (1)*( 4.0)  6513122.8 
   293     1    2S1 8G1             (1)*( 5.0)  6513122.8 
   294     1    2S1 8H1             (1)*( 4.0)  6513192.9 
   295     1    2S1 8H1             (1)*( 5.0)  6513192.9 
   296     1    2S1 8H1             (1)*( 5.0)  6513192.9 
   297     1    2S1 8H1             (1)*( 6.0)  6513192.9 
   298     1    2S1 8F1             (1)3( 3.0)  6513205.3 
   299     1    2S1 8I1             (1)*( 5.0)  6513224.2 
   300     1    2S1 8I1             (1)*( 6.0)  6513224.2 
   301     1    2S1 8I1             (1)*( 6.0)  6513224.2 
   302     1    2S1 8I1             (1)*( 7.0)  6513224.2 
   303     1    2S1 8J1             (1)*( 6.0)  6513240.2 
   304     1    2S1 8J1             (1)*( 7.0)  6513240.2 
   305     1    2S1 8J1             (1)*( 7.0)  6513240.2 
   306     1    2S1 8J1             (1)*( 8.0)  6513240.2 
   307     2    2P1 7S1             (3)1( 0.0)  6643312.0 
   308     2    2P1 7S1             (3)1( 1.0)  6643691.2 
   309     2    2P1 7P1             (3)2( 1.0)  6649014.6 
   310     2    2P1 7P1             (3)1( 1.0)  6650777.6 
   311     2    2P1 7P1             (3)2( 2.0)  6651050.8 
