SEQ='C '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  89332695.2   NPRNTI= 5   NPRNTF=15
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   232     2    2S2 2P1 4D1         (3)1( 2.0)  4354883.8 
   233     2    2S2 2P1 4D1         (3)1( 1.0)  4355541.4 
   234     1    2S2 2P1 4F1         (3)4( 3.0)  4355807.3 
   235     2    2S2 2P1 4D1         (3)1( 0.0)  4355931.3 
   236     1    2S2 2P1 4F1         (3)3( 3.0)  4356376.8 
   237     1    2S2 2P1 4F1         (3)3( 2.0)  4356524.4 
   238     1    2S2 2P1 4F1         (3)4( 4.0)  4356901.7 
   239     2    2S2 2P1 4D1         (1)3( 3.0)  4367321.0 
   240     2    2S2 2P1 4D1         (1)1( 1.0)  4367591.2 
   241     2    2S2 2P1 4F1         (1)3( 3.0)  4375191.2 
   242     2    2S2 2P1 4F1         (3)3( 4.0)  4375845.3 
   243     2    2S2 2P1 4F1         (3)2( 3.0)  4377803.9 
   244     2    2S2 2P1 4F1         (3)2( 2.0)  4378068.2 
   245     2    2S2 2P1 4F1         (3)4( 5.0)  4378547.6 
   246     2    2S2 2P1 4F1         (1)4( 4.0)  4379886.9 
   247     2    2S2 2P1 4F1         (3)2( 1.0)  4380806.2 
   248     2    2S2 2P1 4F1         (1)2( 2.0)  4381723.9 
   249    15    2P3 3D1             (1)1( 1.0)  4396338.2 
   250     3    2S1 2P2 4S1         (5)1( 1.0)  4454066.8 
   251     4    2S1 2P2 4S1         (5)1( 2.0)  4461904.9 
   252     3    2S1 2P2 4S1         (3)1( 0.0)  4472356.9 
   253     5    2S1 2P2 4S1         (5)1( 3.0)  4472841.5 
   254     4    2S1 2P2 4S1         (3)1( 1.0)  4479382.7 
   255     5    2S1 2P2 4S1         (3)1( 2.0)  4491202.5 
   256     3    2S1 2P2 4P1         (5)2( 0.0)  4500894.3 
   257     3    2S1 2P2 4P1         (5)2( 1.0)  4501737.8 
   258     3    2S1 2P2 4P1         (5)2( 2.0)  4505087.2 
   259     3    2S1 2P2 4P1         (3)0( 1.0)  4509095.7 
   260     4    2S1 2P2 4P1         (5)2( 3.0)  4511565.9 
   261     4    2S1 2P2 4P1         (5)1( 1.0)  4515062.5 
   262     4    2S1 2P2 4P1         (5)1( 2.0)  4515078.9 
   263     5    2S1 2P2 4P1         (5)2( 4.0)  4521622.6 
   264     4    2S1 2P2 4P1         (3)2( 1.0)  4522810.2 
   265     5    2S1 2P2 4P1         (5)1( 3.0)  4523286.9 
   266     4    2S1 2P2 4P1         (3)2( 2.0)  4528251.7 
   267     5    2S1 2P2 4P1         (5)0( 2.0)  4533896.2 
   268     4    2S1 2P2 4P1         (3)1( 0.0)  4534952.3 
   269     5    2S1 2P2 4P1         (3)2( 3.0)  4538892.9 
   270     5    2S1 2P2 4P1         (3)1( 1.0)  4540593.7 
   271     5    2S1 2P2 4P1         (3)1( 2.0)  4544626.0 
   272     3    2S1 2P2 4D1         (5)3( 1.0)  4547360.5 
   273     3    2S1 2P2 4D1         (5)3( 2.0)  4548705.8 
   274     3    2S1 2P2 4D1         (5)3( 3.0)  4551273.0 
   275     4    2S1 2P2 4D1         (5)3( 4.0)  4556954.4 
   276     4    2S1 2P2 4D1         (5)2( 0.0)  4559642.2 
   277     4    2S1 2P2 4D1         (5)2( 1.0)  4559898.7 
   278     3    2S1 2P2 4D1         (5)2( 2.0)  4560358.2 
   279     4    2S1 2P2 4D1         (5)2( 3.0)  4561361.8 
   280     5    2S1 2P2 4D1         (5)3( 5.0)  4566077.4 
   281     4    2S1 2P2 4D1         (3)1( 2.0)  4568676.0 
   282     5    2S1 2P2 4D1         (5)2( 4.0)  4569364.1 
   283     4    2S1 2P2 4D1         (5)1( 3.0)  4573521.8 
   284     4    2S1 2P2 4D1         (3)3( 2.0)  4575247.2 
   285     5    2S1 2P2 4D1         (5)1( 2.0)  4576071.6 
   286     4    2S1 2P2 4D1         (3)1( 1.0)  4576208.5 
   287     5    2S1 2P2 4D1         (5)1( 1.0)  4577604.1 
   288     3    2S1 2P2 4F1         (5)4( 2.0)  4580475.2 
   289     5    2S1 2P2 4D1         (3)3( 3.0)  4580752.3 
   290     3    2S1 2P2 4F1         (5)4( 3.0)  4580863.5 
   291     3    2S1 2P2 4F1         (5)2( 4.0)  4581186.3 
   292     5    2S1 2P2 4D1         (3)1( 0.0)  4581254.5 
   293     3    2S1 2P2 4F1         (3)4( 3.0)  4583045.4 
   294     4    2S1 2P2 4F1         (5)4( 4.0)  4587629.5 
   295     4    2S1 2P2 4F1         (5)2( 3.0)  4587756.8 
   296     4    2S1 2P2 4F1         (5)2( 2.0)  4588770.9 
   297     4    2S1 2P2 4F1         (3)2( 3.0)  4589505.5 
   298     4    2S1 2P2 4F1         (5)4( 5.0)  4589715.2 
   299     5    2S1 2P2 4D1         (3)3( 4.0)  4590686.6 
   300     4    2S1 2P2 4F1         (5)3( 1.0)  4590950.2 
   301     4    2S1 2P2 4F1         (3)4( 4.0)  4591617.8 
   302     4    2S1 2P2 4F1         (3)2( 2.0)  4592445.1 
   303     5    2S1 2P2 4D1         (3)2( 1.0)  4593985.3 
   304     5    2S1 2P2 4D1         (3)2( 2.0)  4596954.2 
   305     5    2S1 2P2 4F1         (5)2( 0.0)  4598249.4 
   306     5    2S1 2P2 4D1         (3)2( 3.0)  4598861.1 
   307     5    2S1 2P2 4F1         (5)2( 1.0)  4598861.8 
   308     5    2S1 2P2 4F1         (5)4( 6.0)  4599241.3 
   309     5    2S1 2P2 4F1         (5)3( 2.0)  4600705.9 
   310     5    2S1 2P2 4F1         (3)2( 1.0)  4600755.1 
   311     5    2S1 2P2 4F1         (3)4( 5.0)  4601129.2 
   312     5    2S1 2P2 4F1         (5)3( 3.0)  4601898.3 
   313     5    2S1 2P2 4F1         (5)3( 4.0)  4602570.3 
   314     5    2S1 2P2 4F1         (5)3( 5.0)  4603115.1 
   315     5    2S1 2P2 4F1         (3)3( 2.0)  4603684.7 
   316     5    2S1 2P2 4F1         (3)3( 3.0)  4605300.4 
   317     5    2S1 2P2 4F1         (3)3( 4.0)  4605747.7 
   318     6    2S1 2P2 4S1         (3)2( 1.0)  4645531.2 
   319     6    2S1 2P2 4S1         (3)2( 2.0)  4645964.2 
   320     7    2S1 2P2 4S1         (3)2( 3.0)  4646618.6 
   321     6    2S1 2P2 4P1         (3)3( 2.0)  4693822.3 
   322     6    2S1 2P2 4P1         (3)3( 3.0)  4695196.3 
   323     7    2S1 2P2 4P1         (3)3( 4.0)  4696772.6 
   324     6    2S1 2P2 4P1         (3)2( 1.0)  4699575.2 
   325     6    2S1 2P2 4P1         (3)2( 2.0)  4700225.3 
   326     7    2S1 2P2 4P1         (1)3( 3.0)  4700864.3 
   327     7    2S1 2P2 4P1         (3)2( 3.0)  4701144.0 
   328     7    2S1 2P2 4P1         (1)2( 2.0)  4703316.4 
