SEQ='C '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  88960077.4   NPRNTI= 2   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   301     2    2S1 2P2 6G1         (5)5(27.0)  5198385.8 
   302     2    2S1 2P2 6G1         (3)5(16.0)  5198385.8 
   303     2    2S1 2P2 6F1         (5)3(17.0)  5198497.6 
   304     2    2S1 2P2 6H1         (5)4(22.0)  5198657.4 
   305     2    2S1 2P2 6H1         (3)4(13.0)  5198657.4 
   306     2    2S1 2P2 6H1         (5)5(27.0)  5198657.4 
   307     2    2S1 2P2 6H1         (3)5(16.0)  5198657.4 
   308     2    2S1 2P2 6H1         (5)6(32.0)  5198657.4 
   309     2    2S1 2P2 6H1         (3)6(19.0)  5198657.4 
   310     2    2S1 2P2 6F1         (3)3(10.0)  5200008.8 
   311     1    2S2 2P1 8S1         (3)1( 4.0)  5203847.5 
   312     1    2S2 2P1 8S1         (1)1( 1.0)  5204521.9 
   313     1    2S2 2P1 8P1         (1)1( 1.0)  5208834.8 
   314     1    2S2 2P1 8P1         (3)2( 7.0)  5209229.6 
   315     1    2S2 2P1 8P1         (3)0( 1.0)  5209821.7 
   316     1    2S2 2P1 8P1         (3)1( 4.0)  5210332.9 
   317     1    2S2 2P1 8P1         (1)2( 2.0)  5211322.5 
   318     1    2S2 2P1 8P1         (1)0( 0.0)  5212877.6 
   319     1    2S2 2P1 8D1         (1)2( 2.0)  5214417.7 
   320     1    2S2 2P1 8D1         (3)3(10.0)  5214467.7 
   321     1    2S2 2P1 8D1         (3)2( 7.0)  5215399.4 
   322     1    2S2 2P1 8D1         (3)1( 4.0)  5215586.3 
   323     1    2S2 2P1 8D1         (1)1( 1.0)  5217169.7 
   324     1    2S2 2P1 8D1         (1)3( 3.0)  5217205.6 
   325     1    2S2 2P1 8F1         (1)3( 3.0)  5217628.8 
   326     1    2S2 2P1 8F1         (3)3(10.0)  5217730.2 
   327     4    2S1 2P2 5P1         (3)1( 4.0)  5217844.5 
   328     1    2S2 2P1 8F1         (3)4(13.0)  5218080.9 
   329     8    2P3 4D1             (1)1( 1.0)  5218353.5 
   330     1    2S2 2P1 8G1         (3)3(10.0)  5218367.8 
   331     1    2S2 2P1 8G1         (1)3( 3.0)  5218367.8 
   332     1    2S2 2P1 8G1         (3)4(13.0)  5218367.8 
   333     1    2S2 2P1 8G1         (1)4( 4.0)  5218367.8 
   334     1    2S2 2P1 8G1         (3)5(16.0)  5218367.8 
   335     1    2S2 2P1 8G1         (1)5( 5.0)  5218367.8 
   336     1    2S2 2P1 8F1         (3)2( 7.0)  5218416.4 
   337     1    2S2 2P1 8H1         (3)4(13.0)  5218482.4 
   338     1    2S2 2P1 8H1         (1)4( 4.0)  5218482.4 
   339     1    2S2 2P1 8H1         (3)5(16.0)  5218482.4 
   340     1    2S2 2P1 8H1         (1)5( 5.0)  5218482.4 
   341     1    2S2 2P1 8H1         (3)6(19.0)  5218482.4 
   342     1    2S2 2P1 8H1         (1)6( 6.0)  5218482.4 
   343     1    2S2 2P1 8I1         (3)5(16.0)  5218533.5 
   344     1    2S2 2P1 8I1         (1)5( 5.0)  5218533.5 
   345     1    2S2 2P1 8I1         (3)6(19.0)  5218533.5 
   346     1    2S2 2P1 8I1         (1)6( 6.0)  5218533.5 
   347     1    2S2 2P1 8I1         (3)7(22.0)  5218533.5 
   348     1    2S2 2P1 8I1         (1)7( 7.0)  5218533.5 
   349     1    2S2 2P1 8J1         (3)6(19.0)  5218559.7 
   350     1    2S2 2P1 8J1         (1)6( 6.0)  5218559.7 
   351     1    2S2 2P1 8J1         (3)7(22.0)  5218559.7 
   352     1    2S2 2P1 8J1         (1)7( 7.0)  5218559.7 
   353     1    2S2 2P1 8J1         (3)8(25.0)  5218559.7 
   354     1    2S2 2P1 8J1         (1)8( 8.0)  5218559.7 
   355     1    2S2 2P1 8F1         (1)4( 4.0)  5218570.2 
   356     1    2S2 2P1 8F1         (1)2( 2.0)  5218693.5 
   357     5    2S1 2P2 5S1         (3)1( 4.0)  5230729.0 
   358     4    2S1 2P2 5D1         (3)2( 7.0)  5240215.7 
   359     4    2S1 2P2 5F1         (3)3(10.0)  5252439.4 
   360     5    2S1 2P2 5P1         (3)2( 7.0)  5252800.4 
   361     5    2S1 2P2 5P1         (3)1( 4.0)  5254908.3 
   362     5    2S1 2P2 5P1         (3)0( 1.0)  5258653.2 
   363     5    2S1 2P2 5D1         (3)3(10.0)  5275256.3 
   364     5    2S1 2P2 5D1         (3)2( 7.0)  5278087.8 
   365     5    2S1 2P2 5D1         (3)1( 4.0)  5279892.3 
   366     5    2S1 2P2 5F1         (3)2( 7.0)  5288342.5 
   367     2    2S1 2P2 7S1         (5)1( 7.0)  5313264.5 
   368     2    2S1 2P2 7S1         (3)1( 4.0)  5316157.4 
   369     2    2S1 2P2 7P1         (5)2(12.0)  5321490.0 
   370     2    2S1 2P2 7P1         (3)0( 1.0)  5321491.0 
   371     2    2S1 2P2 7P1         (5)1( 7.0)  5322116.9 
   372     2    2S1 2P2 7P1         (5)0( 2.0)  5324048.6 
   373     2    2S1 2P2 7P1         (3)2( 7.0)  5324485.2 
   374     2    2S1 2P2 7P1         (3)1( 4.0)  5325709.8 
   375     2    2S1 2P2 7D1         (5)3(17.0)  5328929.0 
   376     2    2S1 2P2 7D1         (5)2(12.0)  5329787.2 
   377     2    2S1 2P2 7D1         (5)1( 7.0)  5330976.4 
   378     2    2S1 2P2 7D1         (3)1( 4.0)  5331439.7 
   379     2    2S1 2P2 7D1         (3)3(10.0)  5333177.9 
   380     2    2S1 2P2 7F1         (5)4(22.0)  5334395.9 
   381     2    2S1 2P2 7F1         (5)2(12.0)  5334406.2 
   382     2    2S1 2P2 7F1         (3)2( 7.0)  5334746.3 
   383     2    2S1 2P2 7D1         (3)2( 7.0)  5334837.5 
   384     2    2S1 2P2 7F1         (3)4(13.0)  5335216.8 
   385     2    2S1 2P2 7F1         (5)3(17.0)  5335263.3 
   386     2    2S1 2P2 7G1         (5)3(17.0)  5335267.6 
   387     2    2S1 2P2 7G1         (3)3(10.0)  5335267.6 
