SEQ='N '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  94851161.9   NPRNTI= 6   NPRNTF=20
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   236     2    2S2 2P2 4F1         (4)2( 3.5)  3995304.4 
   237     2    2S2 2P2 4F1         (4)4( 4.5)  3996817.5 
   238     3    2S2 2P2 4D1         (2)2( 2.5)  3996892.6 
   239     4    2S2 2P2 4P1         (2)1( 0.5)  3997096.1 
   240     2    2S2 2P2 4F1         (2)2( 1.5)  3997217.0 
   241     2    2S2 2P2 4F1         (2)4( 3.5)  3997288.6 
   242    18    2P4 3P1             (2)1( 1.5)  3997471.8 
   243     2    2S2 2P2 4F1         (4)2( 2.5)  3997869.5 
   244    18    2P4 3P1             (2)0( 0.5)  3999237.7 
   245     4    2S2 2P2 4P1         (2)1( 1.5)  4001070.3 
   246     5    2S2 2P2 4S1         (2)0( 0.5)  4004406.0 
   247     3    2S2 2P2 4F1         (4)2( 0.5)  4006461.0 
   248     3    2S2 2P2 4F1         (4)2( 1.5)  4006690.7 
   249     3    2S2 2P2 4F1         (4)4( 5.5)  4007286.7 
   250     3    2S2 2P2 4F1         (2)4( 4.5)  4008112.8 
   251     3    2S2 2P2 4F1         (4)3( 1.5)  4008711.2 
   252     3    2S2 2P2 4F1         (4)3( 2.5)  4009001.6 
   253     3    2S2 2P2 4F1         (4)3( 3.5)  4009899.0 
   254     3    2S2 2P2 4F1         (4)3( 4.5)  4010450.5 
   255     3    2S2 2P2 4F1         (2)3( 2.5)  4010860.7 
   256     3    2S2 2P2 4F1         (2)3( 3.5)  4011720.9 
   257     4    2S2 2P2 4D1         (2)4( 3.5)  4042752.3 
   258     4    2S2 2P2 4D1         (2)4( 4.5)  4043926.0 
   259     4    2S2 2P2 4D1         (2)3( 3.5)  4046531.2 
   260     4    2S2 2P2 4D1         (2)3( 2.5)  4047108.1 
   261     4    2S2 2P2 4D1         (2)2( 1.5)  4047956.7 
   262     4    2S2 2P2 4D1         (2)2( 2.5)  4049993.7 
   263     4    2S2 2P2 4D1         (2)1( 0.5)  4053456.1 
   264     4    2S2 2P2 4D1         (2)1( 1.5)  4055887.2 
   265    19    2P4 3P1             (2)2( 1.5)  4056224.7 
   266     4    2S2 2P2 4D1         (2)0( 0.5)  4057746.3 
   267    19    2P4 3P1             (2)2( 2.5)  4058547.1 
   268     5    2S2 2P2 4P1         (2)1( 0.5)  4059740.7 
   269     5    2S2 2P2 4P1         (2)1( 1.5)  4060260.8 
   270     6    2S1 2P3 4S1         (6)0( 2.5)  4061471.6 
   271    20    2P4 3S1             (2)0( 0.5)  4061731.8 
   272     4    2S2 2P2 4F1         (2)4( 4.5)  4069963.9 
   273     4    2S2 2P2 4F1         (2)4( 3.5)  4070003.9 
   274     4    2S2 2P2 4F1         (2)3( 2.5)  4070589.5 
   275     4    2S2 2P2 4F1         (2)3( 3.5)  4070797.2 
   276     4    2S2 2P2 4F1         (2)2( 1.5)  4074560.8 
   277     4    2S2 2P2 4F1         (2)2( 2.5)  4074885.6 
   278     4    2S2 2P2 4F1         (2)5( 4.5)  4074897.3 
   279     4    2S2 2P2 4F1         (2)5( 5.5)  4075074.2 
   280     4    2S2 2P2 4F1         (2)1( 0.5)  4078535.6 
   281     4    2S2 2P2 4F1         (2)1( 1.5)  4078719.6 
   282     6    2S1 2P3 4S1         (4)0( 1.5)  4082278.1 
   283    16    2P4 3D1             (4)2( 0.5)  4102652.4 
   284     6    2S1 2P3 4P1         (6)1( 1.5)  4113798.4 
   285     6    2S1 2P3 4P1         (6)1( 2.5)  4114398.9 
   286     6    2S1 2P3 4P1         (6)1( 3.5)  4115354.7 
   287    16    2P4 3D1             (4)3( 4.5)  4115472.2 
   288     5    2S2 2P2 4D1         (2)2( 2.5)  4117002.9 
   289     5    2S2 2P2 4D1         (2)2( 1.5)  4117867.1 
   290    16    2P4 3D1             (4)3( 3.5)  4121488.9 
   291    19    2P4 3P1             (2)1( 1.5)  4122426.4 
   292    16    2P4 3D1             (4)3( 2.5)  4127433.4 
   293    19    2P4 3P1             (2)1( 0.5)  4127933.0 
   294    16    2P4 3D1             (4)3( 1.5)  4130633.5 
   295     6    2S1 2P3 4P1         (4)1( 2.5)  4133883.8 
   296     6    2S1 2P3 4P1         (4)1( 1.5)  4134129.4 
   297     6    2S1 2P3 4P1         (4)1( 0.5)  4134399.4 
   298    17    2P4 3D1             (2)3( 3.5)  4135077.7 
   299    17    2P4 3D1             (2)1( 0.5)  4140239.3 
   300     5    2S2 2P2 4F1         (2)3( 2.5)  4143397.6 
   301     5    2S2 2P2 4F1         (2)3( 3.5)  4143525.1 
   302    17    2P4 3D1             (2)3( 2.5)  4144619.0 
   303    17    2P4 3D1             (2)1( 1.5)  4149235.9 
   304    18    2P4 3D1             (2)2( 1.5)  4157692.8 
   305    18    2P4 3D1             (2)2( 2.5)  4162068.5 
   306     6    2S1 2P3 4D1         (6)2( 0.5)  4168947.7 
   307     6    2S1 2P3 4D1         (6)2( 1.5)  4169005.0 
   308     6    2S1 2P3 4D1         (6)2( 2.5)  4169100.4 
   309     6    2S1 2P3 4D1         (6)2( 3.5)  4169235.6 
   310     6    2S1 2P3 4D1         (6)2( 4.5)  4169415.3 
   311    20    2P4 3P1             (2)1( 1.5)  4191137.7 
   312     6    2S1 2P3 4D1         (4)2( 1.5)  4194328.5 
   313     6    2S1 2P3 4D1         (4)2( 0.5)  4194344.1 
