MO+41        42        42     192696740.0
    1 11                (2)0( 0.5)             0.0
    2 12                (2)0( 0.5)     148309100.0
    3 13                (2)1( 0.5)     148318340.0
    4 13                (2)1( 1.5)     149489480.0
    5 14                (2)0( 0.5)     176141700.0
    6 15                (2)1( 0.5)     176143640.0
    7 15                (2)1( 1.5)     176492030.0
    8 16                (2)2( 1.5)     176495300.0
    9 16                (2)2( 2.5)     176604800.0
   10 17                (2)0( 0.5)     185835200.0
   11 18                (2)1( 0.5)     185835910.0
   12 18                (2)1( 1.5)     185982745.0
   13 19                (2)2( 1.5)     185984120.0
   14 19                (2)2( 2.5)     186030420.0
  11  10 7.22+01 3.46+00 3.92+00 4.27+00 4.61+00 5.07+00 5.42+00 5.77+00 6.23+00 6.58+00 6.93+00 7.39+00 7.74+00 8.08+00 8.13+00
  12  10 6.47+08 2.07+00 2.32+00 2.57+00 2.86+00 3.29+00 3.64+00 4.00+00 4.49+00 4.86+00 5.24+00 5.74+00 6.12+00 6.50+00 6.55+00
  13  10 1.48+02 6.13-02 7.26-02 8.09-02 8.70-02 9.17-02 9.35-02 9.45-02 9.51-02 9.54-02 9.55-02 9.57-02 9.58-02 9.58-02 9.58-02
  14  10 5.72+02 1.01-01 1.15-01 1.25-01 1.32-01 1.38-01 1.41-01 1.42-01 1.43-01 1.44-01 1.44-01 1.45-01 1.45-01 1.45-01 1.45-01
  12  11 2.88+04 7.44-02 8.83-02 9.84-02 1.06-01 1.12-01 1.14-01 1.15-01 1.16-01 1.16-01 1.16-01 1.17-01 1.17-01 1.17-01 1.17-01
  13  11 5.35+08 1.70+00 1.91+00 2.12+00 2.36+00 2.71+00 2.99+00 3.29+00 3.69+00 3.99+00 4.30+00 4.71+00 5.01+00 5.32+00 5.36+00
  13  12 8.54+01 1.01+00 1.15+00 1.25+00 1.36+00 1.50+00 1.61+00 1.72+00 1.86+00 1.96+00 2.07+00 2.21+00 2.32+00 2.42+00 2.44+00
  14  12 2.14+07 4.14+00 4.80+00 5.33+00 5.87+00 6.59+00 7.14+00 7.69+00 8.42+00 8.98+00 9.53+00 1.03+01 1.08+01 1.14+01 1.14+01
  14  13 1.08+03 1.73-02 2.54-02 3.12-02 3.55-02 3.88-02 4.01-02 4.08-02 4.12-02 4.14-02 4.14-02 4.15-02 4.15-02 4.15-02 4.15-02
  -1
  -1  -1
C--------------------------------------------------------------------------------
C
C             Configuration
C       Eissner            == Standard           R  %   Parentage
C
C   1   11                 == 1S1                  100  1 2S  2S/
C   2   12                 == 2S1                  100  1 2S  2S/
C   3   13                 == 2P1                  100  1 2P  2P/
C   4   13                 == 2P1                  100  1 2P  2P/
C   5   14                 == 3S1                  100  1 2S  2S/
C   6   15                 == 3P1                  100  1 2P  2P/
C   7   15                 == 3P1                  100  1 2P  2P/
C   8   16                 == 3D1                  100  1 2D  2D/
C   9   16                 == 3D1                  100  1 2D  2D/
C  10   17                 == 4S1                  100  1 2S  2S/
C  11   18                 == 4P1                  100  1 2P  2P/
C  12   18                 == 4P1                  100  1 2P  2P/
C  13   19                 == 4D1                  100  1 2D  2D/
C  14   19                 == 4D1                  100  1 2D  2D/
C
C (R) - Levels (or levels within a term) have been reassigned
C       from their principal component.
C
C--------------------------------------------------------------------------------
C
C   Generated from Cowan Atomic Structure Program
C
C   From IFG file : ./ifg#mo42-41_adf34.dat
C
C   Options in effect
C
C   Coupling    Avalue   numtemps   Lweight   Isonuclear   Comment Level
C   IC          YES      14         NO        YES          2
C
C
C   Cowan code options
C   ------------------
C                                                                          
C      Cowan plane wave Born method                                        
C                                                                          
C      Scale factors 85 95 85 85 50                                        
C                                                                          
C   Parity 1    Parity 2    Allowed
C         28          15         42     initially
C         28          15         42     reduced
C
C   Note: The Born method does NOT calculate spin changing transitions
C   correctly. You should supplement for important transitions of this type.
C
C--------------------------------------------------------------------------------
C
C   Code     : ADAS801
C   Producer : Martin O'Mullane
C   Date     : 28/02/04
C
C--------------------------------------------------------------------------------

C--------------------------------------------------------------------------------
C  SCCS info: Module @(#)$Header: /home/adascvs/adas/adf04/copmm#42/ic#mo41.dat,v 1.1 2004/07/06 21:41:12 whitefor Exp $ Date $Date: 2004/07/06 21:41:12 $
C--------------------------------------------------------------------------------

C-----------------------------------------------------------------------
C                               OPEN-ADAS
C                               +++++++++
C
C This file has been downloaded from OPEN-ADAS (http://open.adas.ac.uk)
C on 12-Jul-2013.
C
C TERMS AND CONDITIONS
C --------------------
C
C The user of the OPEN-ADAS system and data (hereinafter "the User")
C accepts the following terms and conditions:
C
C   1. The University of Strathclyde uses all reasonable endeavours to
C      ensure the accuracy of the data provided and any information
C      given, but the University makes no warranty, expressed or implied
C      as to its accuracy, integrity, fitness for purpose and shall not
C      be responsible for the use to which the data is put by the User
C      and/or any consequences arising out of any inaccuracies or
C      omissions.
C
C   2. Any downloaded OPEN-ADAS file is made available for the
C      personal use of the User only.  It must not be used for any
C      commercial application, incorporated into any web site or in
C      any form re-distributed without express prior written permission
C      from the ADAS Project. In particular, but not by way of
C      limitation, it must not be:
C        *  inserted into a managed database structure,
C        *  redistributed along with a modelling or analysis code,
C        *  made available on a public website.
C
C Permission for OPEN-ADAS data incorporation in non-commercial
C code/system development for scientific advance will not be
C unreasonably withheld, but will be subject to written agreement
C on a case by case basis.
C
C The User will indemnify the University of Strathclyde and keep it
C fully and effectively indemnified against each and every claim made
C against the University as a result of the User's use of the data.
C
C-----------------------------------------------------------------------
