SEQ='AL'     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 143750963.6   NPRNTI= 2   NPRNTF=14
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
   181     2    3S1 3P1 6P1         (4)2( 9.5)  1096046.9 
   182     3    3S1 3P1 5D1         (2)1( 2.5)  1096109.4 
   183     2    3S1 3P1 6P1         (2)1( 2.5)  1096116.2 
   184     2    3S1 3P1 6P1         (4)1( 5.5)  1097139.5 
   185     2    3S1 3P1 6P1         (4)0( 1.5)  1098128.5 
   186  9999    3D3                 (4)3(13.5)  1099546.1 
   187     2    3S1 3P1 6P1         (2)2( 4.5)  1099644.2 
   188     2    3S1 3P1 6P1         (2)0( 0.5)  1103022.5 
   189     7    3S1 3D1 4D1         (2)3( 6.5)  1103114.7 
   190     7    3S1 3D1 4D1         (2)1( 2.5)  1108638.3 
   191     3    3S1 3P1 5F1         (2)3( 6.5)  1111298.7 
   192     3    3S1 3P1 5F1         (2)4( 8.5)  1113065.7 
   193     3    3S1 3P1 5F1         (2)2( 4.5)  1115017.0 
   194     2    3S1 3P1 6D1         (4)2( 9.5)  1117775.6 
   195     2    3S1 3P1 6D1         (2)2( 4.5)  1117983.0 
   196     2    3S1 3P1 6D1         (4)3(13.5)  1118958.5 
   197     7    3S1 3D1 4D1         (2)2( 4.5)  1119269.8 
   198    10    3P1 3D1 4S1         (2)2( 4.5)  1120006.0 
   199  9999    3D3                 (2)4( 8.5)  1120081.5 
   200     2    3S1 3P1 6D1         (4)1( 5.5)  1120163.4 
   201  9999    3D3                 (4)1( 5.5)  1120286.0 
   202     2    3S1 3P1 6D1         (2)3( 6.5)  1120488.2 
   203     9    3P1 3D1 4S1         (2)3( 6.5)  1121265.1 
   204     2    3S1 3P1 6D1         (2)1( 2.5)  1121608.2 
   205     7    3S1 3D1 4D1         (2)4( 8.5)  1122819.4 
   206     2    3S1 3P1 6F1         (4)3(13.5)  1128073.7 
   207     2    3S1 3P1 6F1         (2)3( 6.5)  1128582.3 
   208     2    3S1 3P1 6F1         (4)4(17.5)  1128643.1 
