SEQ='BE'     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  94355335.6   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   288366.5 

   LS RESOLVED TERM INDEXING            BWNR= 103074250.9   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   223     2    2P1 8G1             (1)5( 5.0)  8511582.5 
   224     2    2P1 8H1             (3)4(13.0)  8511663.1 
   225     2    2P1 8H1             (1)4( 4.0)  8511663.1 
   226     2    2P1 8H1             (3)5(16.0)  8511663.1 
   227     2    2P1 8H1             (1)5( 5.0)  8511663.1 
   228     2    2P1 8H1             (3)6(19.0)  8511663.1 
   229     2    2P1 8H1             (1)6( 6.0)  8511663.1 
   230     2    2P1 8I1             (3)5(16.0)  8511699.1 
   231     2    2P1 8I1             (1)5( 5.0)  8511699.1 
   232     2    2P1 8I1             (3)6(19.0)  8511699.1 
   233     2    2P1 8I1             (1)6( 6.0)  8511699.1 
   234     2    2P1 8I1             (3)7(22.0)  8511699.1 
   235     2    2P1 8I1             (1)7( 7.0)  8511699.1 
   236     2    2P1 8J1             (3)6(19.0)  8511717.5 
   237     2    2P1 8J1             (1)6( 6.0)  8511717.5 
   238     2    2P1 8J1             (3)7(22.0)  8511717.5 
   239     2    2P1 8J1             (1)7( 7.0)  8511717.5 
   240     2    2P1 8J1             (3)8(25.0)  8511717.5 
   241     2    2P1 8J1             (1)8( 8.0)  8511717.5 
   242     2    2P1 8F1             (3)2( 7.0)  8511976.1 
   243     2    2P1 8F1             (1)4( 4.0)  8512282.2 
   244     2    2P1 8F1             (1)2( 2.0)  8512441.5 
   245     2    2P1 8D1             (1)1( 1.0)  8512726.9 
   246     2    2P1 8D1             (1)3( 3.0)  8512810.4 

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (2S)  SPNPRT= 2

   INDX TE=  2.89E+03  5.78E+03  1.45E+04  2.89E+04  5.78E+04  1.45E+05  2.89E+05  5.78E+05  1.45E+06  2.89E+06
   ---- ---  5.78E+06  1.45E+07  2.89E+07  5.78E+07  1.45E+08  2.89E+08  5.78E+08  1.45E+09  2.89E+09
     1       6.95E-12  4.91E-12  3.11E-12  2.20E-12  1.55E-12  9.82E-13  6.94E-13  4.91E-13  3.09E-13  2.17E-13
             1.50E-13  8.87E-14  5.64E-14  3.37E-14  1.53E-14  7.76E-15  3.68E-15  1.25E-15  5.23E-16
     2       3.38E-11  2.39E-11  1.51E-11  1.07E-11  7.51E-12  4.72E-12  3.30E-12  2.28E-12  1.35E-12  8.73E-13
             5.33E-13  2.48E-13  1.26E-13  5.94E-14  1.95E-14  7.87E-15  3.03E-15  8.21E-16  2.99E-16
     3       1.03E-11  7.30E-12  4.61E-12  3.26E-12  2.30E-12  1.44E-12  1.01E-12  6.99E-13  4.16E-13  2.70E-13
             1.66E-13  7.81E-14  4.01E-14  1.89E-14  6.26E-15  2.53E-15  9.77E-16  2.65E-16  9.64E-17
     6       2.90E-13  2.05E-13  1.30E-13  9.16E-14  6.48E-14  4.11E-14  2.92E-14  2.07E-14  1.33E-14  9.57E-15
             6.85E-15  4.26E-15  2.82E-15  1.74E-15  8.19E-16  4.22E-16  2.03E-16  6.97E-17  2.92E-17
     7       3.41E-12  2.41E-12  1.52E-12  1.08E-12  7.62E-13  4.82E-13  3.41E-13  2.41E-13  1.52E-13  1.06E-13
             7.31E-14  4.25E-14  2.67E-14  1.58E-14  7.08E-15  3.56E-15  1.68E-15  5.70E-16  2.37E-16
     8       1.08E-12  7.65E-13  4.84E-13  3.42E-13  2.42E-13  1.53E-13  1.08E-13  7.68E-14  4.86E-14  3.42E-14
             2.37E-14  1.39E-14  8.76E-15  5.20E-15  2.34E-15  1.18E-15  5.57E-16  1.89E-16  7.89E-17
     9       1.13E-11  7.95E-12  5.02E-12  3.55E-12  2.50E-12  1.57E-12  1.10E-12  7.62E-13  4.55E-13  2.94E-13
             1.80E-13  8.41E-14  4.29E-14  2.01E-14  6.61E-15  2.66E-15  1.03E-15  2.78E-16  1.01E-16
    10       3.69E-12  2.61E-12  1.65E-12  1.16E-12  8.21E-13  5.16E-13  3.61E-13  2.50E-13  1.49E-13  9.70E-14
             5.95E-14  2.78E-14  1.42E-14  6.67E-15  2.19E-15  8.83E-16  3.41E-16  9.22E-17  3.35E-17
    11       1.26E-11  8.92E-12  5.62E-12  3.96E-12  2.78E-12  1.72E-12  1.17E-12  7.78E-13  4.18E-13  2.41E-13
             1.27E-13  4.73E-14  2.03E-14  8.19E-15  2.29E-15  8.41E-16  3.04E-16  7.80E-17  2.77E-17
    12       4.03E-12  2.85E-12  1.80E-12  1.27E-12  8.89E-13  5.50E-13  3.76E-13  2.49E-13  1.35E-13  7.77E-14
             4.11E-14  1.54E-14  6.62E-15  2.67E-15  7.46E-16  2.75E-16  9.93E-17  2.55E-17  9.05E-18
    27       1.52E-12  1.08E-12  6.80E-13  4.81E-13  3.40E-13  2.15E-13  1.52E-13  1.07E-13  6.74E-14  4.68E-14
             3.19E-14  1.83E-14  1.14E-14  6.69E-15  2.98E-15  1.49E-15  7.03E-16  2.38E-16  9.89E-17
    28       4.93E-13  3.49E-13  2.20E-13  1.56E-13  1.10E-13  6.98E-14  4.94E-14  3.49E-14  2.20E-14  1.53E-14
             1.05E-14  6.06E-15  3.78E-15  2.22E-15  9.90E-16  4.97E-16  2.34E-16  7.91E-17  3.29E-17
    29       5.20E-12  3.68E-12  2.32E-12  1.64E-12  1.16E-12  7.28E-13  5.09E-13  3.53E-13  2.10E-13  1.36E-13
             8.26E-14  3.83E-14  1.94E-14  9.08E-15  2.97E-15  1.20E-15  4.60E-16  1.24E-16  4.52E-17
    30       1.72E-12  1.21E-12  7.67E-13  5.42E-13  3.82E-13  2.40E-13  1.68E-13  1.17E-13  6.94E-14  4.49E-14
             2.74E-14  1.27E-14  6.45E-15  3.02E-15  9.89E-16  3.97E-16  1.53E-16  4.14E-17  1.50E-17
    31       7.73E-12  5.46E-12  3.45E-12  2.43E-12  1.70E-12  1.05E-12  7.20E-13  4.77E-13  2.57E-13  1.48E-13
             7.79E-14  2.90E-14  1.25E-14  5.01E-15  1.40E-15  5.14E-16  1.86E-16  4.76E-17  1.69E-17
    32       2.52E-12  1.78E-12  1.12E-12  7.90E-13  5.55E-13  3.44E-13  2.35E-13  1.56E-13  8.41E-14  4.85E-14
             2.56E-14  9.55E-15  4.11E-15  1.65E-15  4.61E-16  1.70E-16  6.13E-17  1.57E-17  5.59E-18
    33       5.54E-12  3.91E-12  2.46E-12  1.72E-12  1.20E-12  7.23E-13  4.75E-13  2.97E-13  1.41E-13  7.23E-14
             3.36E-14  1.07E-14  4.18E-15  1.57E-15  4.13E-16  1.48E-16  5.27E-17  1.34E-17  4.75E-18
    34       1.84E-12  1.30E-12  8.16E-13  5.72E-13  3.98E-13  2.40E-13  1.58E-13  9.85E-14  4.69E-14  2.40E-14
             1.12E-14  3.56E-15  1.39E-15  5.22E-16  1.37E-16  4.92E-17  1.75E-17  4.45E-18  1.58E-18
    55       8.30E-13  5.86E-13  3.71E-13  2.62E-13  1.85E-13  1.17E-13  8.26E-14  5.82E-14  3.62E-14  2.50E-14
             1.69E-14  9.57E-15  5.91E-15  3.44E-15  1.53E-15  7.63E-16  3.58E-16  1.21E-16  5.03E-17
    56       2.71E-13  1.92E-13  1.21E-13  8.56E-14  6.06E-14  3.83E-14  2.71E-14  1.91E-14  1.19E-14  8.24E-15
             5.58E-15  3.17E-15  1.96E-15  1.14E-15  5.08E-16  2.54E-16  1.19E-16  4.03E-17  1.68E-17
    57       2.87E-12  2.03E-12  1.28E-12  9.05E-13  6.38E-13  4.01E-13  2.80E-13  1.93E-13  1.15E-13  7.36E-14
             4.46E-14  2.05E-14  1.04E-14  4.82E-15  1.57E-15  6.32E-16  2.43E-16  6.56E-17  2.38E-17
    58       9.49E-13  6.70E-13  4.24E-13  2.99E-13  2.11E-13  1.33E-13  9.27E-14  6.41E-14  3.80E-14  2.44E-14
             1.48E-14  6.82E-15  3.44E-15  1.60E-15  5.24E-16  2.10E-16  8.08E-17  2.18E-17  7.93E-18
    59       4.69E-12  3.31E-12  2.09E-12  1.47E-12  1.03E-12  6.39E-13  4.36E-13  2.89E-13  1.55E-13  8.91E-14
             4.68E-14  1.74E-14  7.45E-15  2.99E-15  8.34E-16  3.06E-16  1.11E-16  2.84E-17  1.01E-17
    60       1.54E-12  1.08E-12  6.85E-13  4.82E-13  3.39E-13  2.10E-13  1.43E-13  9.50E-14  5.11E-14  2.94E-14
             1.55E-14  5.75E-15  2.47E-15  9.91E-16  2.76E-16  1.02E-16  3.67E-17  9.41E-18  3.34E-18
    61       4.88E-12  3.44E-12  2.16E-12  1.52E-12  1.06E-12  6.37E-13  4.19E-13  2.61E-13  1.24E-13  6.36E-14
             2.95E-14  9.39E-15  3.67E-15  1.37E-15  3.62E-16  1.30E-16  4.62E-17  1.17E-17  4.16E-18
    62       2.65E-12  1.87E-12  1.17E-12  8.14E-13  5.58E-13  3.25E-13  2.03E-13  1.18E-13  4.97E-14  2.30E-14
             9.74E-15  2.82E-15  1.05E-15  3.83E-16  9.88E-17  3.51E-17  1.25E-17  3.16E-18  1.12E-18
    63       8.83E-13  6.22E-13  3.90E-13  2.71E-13  1.86E-13  1.08E-13  6.78E-14  3.94E-14  1.66E-14  7.67E-15
             3.25E-15  9.41E-16  3.51E-16  1.28E-16  3.29E-17  1.17E-17  4.15E-18  1.05E-18  3.73E-19
    64       1.62E-12  1.14E-12  7.18E-13  5.03E-13  3.50E-13  2.11E-13  1.39E-13  8.67E-14  4.13E-14  2.11E-14
             9.80E-15  3.12E-15  1.22E-15  4.57E-16  1.20E-16  4.31E-17  1.54E-17  3.90E-18  1.38E-18
    91       5.10E-13  3.60E-13  2.28E-13  1.61E-13  1.14E-13  7.18E-14  5.05E-14  3.54E-14  2.19E-14  1.49E-14
             1.00E-14  5.62E-15  3.45E-15  2.00E-15  8.83E-16  4.41E-16  2.07E-16  6.97E-17  2.90E-17
    92       1.67E-13  1.18E-13  7.48E-14  5.28E-14  3.73E-14  2.36E-14  1.66E-14  1.17E-14  7.22E-15  4.95E-15
             3.32E-15  1.87E-15  1.15E-15  6.66E-16  2.94E-16  1.47E-16  6.89E-17  2.32E-17  9.67E-18
    93       1.77E-12  1.25E-12  7.90E-13  5.58E-13  3.93E-13  2.47E-13  1.72E-13  1.18E-13  6.96E-14  4.44E-14
             2.67E-14  1.22E-14  6.15E-15  2.86E-15  9.30E-16  3.73E-16  1.43E-16  3.87E-17  1.40E-17
    94       5.86E-13  4.14E-13  2.62E-13  1.85E-13  1.30E-13  8.17E-14  5.70E-14  3.93E-14  2.31E-14  1.48E-14
