SEQ='BE'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  94846886.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   295528.9 
     3          2P1                 (2)1( 1.5)   334397.6 

   IC RESOLVED LEVEL INDEXING           BWNR= 103612964.0   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   235     2    2P1 6H1             (1)*( 5.0)  8180455.2 
   236     2    2P1 6H1             (1)*( 6.0)  8180455.2 
   237     3    2P1 6S1             (3)1( 2.0)  8193017.0 
   238     3    2P1 6S1             (1)1( 1.0)  8194489.8 
   239     3    2P1 6P1             (1)1( 1.0)  8204296.2 
   240     3    2P1 6P1             (3)2( 3.0)  8204928.4 
   241     3    2P1 6P1             (3)1( 2.0)  8206172.3 
   242     3    2P1 6P1             (3)0( 1.0)  8206477.7 
   243     3    2P1 6P1             (1)2( 2.0)  8209839.8 
   244     3    2P1 6D1             (3)3( 4.0)  8212738.7 
   245     3    2P1 6D1             (1)2( 2.0)  8212957.6 
   246     3    2P1 6P1             (1)0( 0.0)  8214163.3 
   247     3    2P1 6D1             (3)2( 3.0)  8214442.8 
   248     3    2P1 6D1             (3)2( 2.0)  8215719.3 
   249     3    2P1 6D1             (3)1( 1.0)  8215937.0 
   250     3    2P1 6D1             (3)1( 0.0)  8216114.0 
   251     3    2P1 6F1             (1)3( 3.0)  8217306.8 
   252     3    2P1 6F1             (3)3( 4.0)  8217715.5 
   253     3    2P1 6F1             (3)3( 3.0)  8218413.0 
   254     3    2P1 6F1             (3)3( 2.0)  8218533.6 
   255     3    2P1 6F1             (3)4( 5.0)  8218622.6 
   256     3    2P1 6G1             (1)*( 2.0)  8219132.9 
   257     3    2P1 6G1             (1)*( 3.0)  8219132.9 
