SEQ='AL'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 144375973.8   NPRNTI= 4   NPRNTF=26
   ---------------------
   INDP         CODE                 S L   WI        WNP
   237     5    3S1 3P1 4F1         (2)4( 4.5)   961206.3 
   238     5    3S1 3P1 4F1         (2)4( 3.5)   961380.0 
   239     4    3S1 3P1 5S1         (4)1( 2.5)   961822.0 
   240     3    3S1 3P1 5S1         (2)1( 0.5)   965145.0 
   241     5    3S1 3P1 4F1         (2)2( 1.5)   965503.3 
   242     5    3S1 3P1 4F1         (2)2( 2.5)   965590.3 
   243    11    3S1 3D1 4S1         (4)2( 1.5)   967448.5 
   244    12    3S1 3D1 4S1         (4)2( 2.5)   967588.0 
   245     8    3P2 4P1             (4)0( 1.5)   967609.3 
   246     4    3S1 3P1 5S1         (2)1( 1.5)   968137.3 
   247     9    3P2 4P1             (2)2( 1.5)   975310.2 
   248  9999    3P1 3D2             (2)2( 2.5)   975849.1 
   249  9999    3P1 3D2             (2)2( 1.5)   976121.8 
   250     9    3P2 4P1             (2)2( 2.5)   976545.4 
   251     1    3S2 6D1             (2)2( 1.5)   982942.4 
   252     9    3P2 4P1             (2)1( 0.5)   982949.1 
   253     1    3S2 6D1             (2)2( 2.5)   982985.2 
   254    12    3S1 3D1 4S1         (2)2( 1.5)   985052.6 
   255    13    3S1 3D1 4S1         (2)2( 2.5)   985288.8 
   256     2    3S1 3P1 5P1         (4)2( 0.5)   985919.2 
   257     9    3P2 4P1             (2)1( 1.5)   986080.0 
   258     2    3S1 3P1 5P1         (4)2( 1.5)   986913.3 
   259     3    3S1 3P1 5P1         (4)2( 2.5)   988374.4 
   260     3    3S1 3P1 5P1         (2)1( 0.5)   988686.4 
   261     3    3S1 3P1 5P1         (2)1( 1.5)   988902.4 
   262  9999    3P1 3D2             (2)1( 0.5)   989959.9 
   263     3    3S1 3P1 5P1         (4)1( 0.5)   990181.6 
   264  9999    3P1 3D2             (2)1( 1.5)   990303.5 
