Ne+ 9        10        10      10986873.0(1S)
    1 1S1               (2)0(  .5)               .0     {1}1.000
    2 2S1               (2)0(  .5)        8239096.5     {1}1.000
    3 2P1               (2)1( 2.5)        8241381.9     {1}1.000
    4 3S1               (2)0(  .5)        9766023.4     {1}1.000
    5 3P1               (2)1( 2.5)        9766700.1     {1}1.000
    6 3D1               (2)2( 4.5)        9767278.2     {1}1.000
    7 4S1               (2)0(  .5)       10300310.3     {1}1.000
    8 4P1               (2)1( 2.5)       10300595.7     {1}1.000
    9 4D1               (2)2( 4.5)       10300839.5     {1}1.000
   10 4F1               (2)3( 6.5)       10300943.9     {1}1.000
   11 5S1               (2)0(  .5)       10547547.9     {1}1.000
   12 5P1               (2)1( 2.5)       10547694.0     {1}1.000
   13 5D1               (2)2( 4.5)       10547818.9     {1}1.000
   14 5F1               (2)3( 6.5)       10547872.3     {1}1.000
   15 5G1               (2)4( 8.5)       10547902.0     {1}1.000
   -1
 10.0    3       5.00+04 1.00+05 2.00+05 3.00+05 5.00+05 1.00+06 1.50+06 2.00+06 3.00+06 5.00+06 1.00+07 1.50+07 2.00+07 5.00+07
  14  13 1.42+00 3.64+02 3.95+02 4.26+02 4.45+02 4.68+02 4.99+02 5.18+02 5.31+02 5.49+02 5.72+02 6.04+02 6.22+02 6.35+02 6.76+02
  15  13 1.42-11 7.17+00 9.05+00 1.10+01 1.21+01 1.36+01 1.56+01 1.67+01 1.75+01 1.87+01 2.01+01 2.22+01 2.33+01 2.41+01 2.67+01
R  1  +1         7.37-12 5.20-12 3.66-12 2.98-12 2.29-12 1.59-12 1.27-12 1.08-12 8.54-13 6.23-13 3.89-13 2.87-13 2.29-13 1.02-13
R  2  +1         1.09-12 7.72-13 5.44-13 4.43-13 3.41-13 2.37-13 1.90-13 1.61-13 1.27-13 9.16-14 5.64-14 4.13-14 3.26-14 1.41-14
R  3  +1         2.93-12 2.05-12 1.41-12 1.13-12 8.35-13 5.37-13 4.03-13 3.25-13 2.34-13 1.49-13 7.50-14 4.82-14 3.47-14 1.12-14
R  4  +1         3.67-13 2.59-13 1.82-13 1.48-13 1.13-13 7.76-14 6.18-14 5.23-14 4.10-14 2.96-14 1.81-14 1.31-14 1.03-14 4.42-15
R  5  +1         1.11-12 7.78-13 5.37-13 4.28-13 3.16-13 2.03-13 1.52-13 1.22-13 8.80-14 5.59-14 2.80-14 1.79-14 1.29-14 4.14-15
R  6  +1         1.25-12 8.55-13 5.66-13 4.35-13 3.03-13 1.74-13 1.20-13 9.09-14 5.97-14 3.36-14 1.43-14 8.46-15 5.74-15 1.60-15
R  7  +1         1.68-13 1.18-13 8.27-14 6.69-14 5.12-14 3.53-14 2.81-14 2.38-14 1.84-14 1.30-14 8.05-15 5.78-15 4.40-15 1.92-15
R  8  +1         5.29-13 3.69-13 2.53-13 2.02-13 1.49-13 9.57-14 7.18-14 5.77-14 4.13-14 2.60-14 1.31-14 8.35-15 5.91-15 1.91-15
R  9  +1         7.85-13 5.36-13 3.54-13 2.72-13 1.90-13 1.09-13 7.51-14 5.68-14 3.72-14 2.09-14 8.91-15 5.25-15 3.56-15 9.89-16
R 10  +1         5.60-13 3.68-13 2.29-13 1.68-13 1.09-13 5.54-14 3.57-14 2.57-14 1.57-14 8.15-15 3.18-15 1.80-15 1.19-15 3.13-16
R 11  +1         9.15-14 6.43-14 4.53-14 3.68-14 2.82-14 1.94-14 1.53-14 1.27-14 1.01-14 7.07-15 4.21-15 2.82-15 2.28-15 9.51-16
R 12  +1         2.92-13 2.04-13 1.41-13 1.12-13 8.30-14 5.30-14 3.96-14 3.15-14 2.27-14 1.42-14 7.08-15 4.33-15 3.18-15 1.03-15
R 13  +1         4.81-13 3.28-13 2.16-13 1.66-13 1.16-13 6.60-14 4.56-14 3.44-14 2.25-14 1.26-14 5.37-15 3.16-15 2.14-15 5.94-16
R 14  +1         4.93-13 3.24-13 2.02-13 1.48-13 9.56-14 4.87-14 3.14-14 2.25-14 1.38-14 7.15-15 2.79-15 1.58-15 1.04-15 2.74-16
R 15  +1         2.54-13 1.59-13 9.19-14 6.40-14 3.86-14 1.78-14 1.09-14 7.54-15 4.41-15 2.18-15 8.14-16 4.52-16 2.96-16 7.63-17
  -1
  -1  -1
C-------------------------------------------------------------------------------
C
C Combined two specific ion files
C
C Target         : /u/hps/adas/adf04/cop98#10/copmm#10_ls#ne9.dat
C Supplementary  : /u/hps/adas/adf04/cop98#10/coplh#h_lh#ne9.dat
C
C Replace SUPPLEMENTARY level into TARGET level
C
C                     1                 1
C                     2                 2
C                     3                 3
C                     4                 4
C                     5                 5
C                     6                 6
C                     7                 7
C                     8                 8
C                     9                 9
C                    10                10
C                    11                11
C                    12                12
C                    13                13
C                    14                14
C                    15                15
C
C
C Code : /u/hps/merge_adf04/merge_adf04
C
C Date : 02/10/98
C
C-------------------------------------------------------------------------------
C
C   A value differences were detected for the following transitions
C       Tran.      Target        Supp
C
C      2   1     1.00D-30     0.00D+00
C      4   1     1.00D-30     0.00D+00
C      6   1     5.95D+08     0.00D+00
C      7   1     1.00D-30     0.00D+00
C      9   1     3.27D+08     0.00D+00
C     11   1     1.00D-30     0.00D+00
C     13   1     1.85D+08     0.00D+00
C      4   2     1.00D-30     0.00D+00
C      6   2     5.14D+07     0.00D+00
C      7   2     1.00D-30     0.00D+00
C      9   2     5.23D+06     0.00D+00
C     11   2     1.00D-30     0.00D+00
C     13   2     9.87D+05     0.00D+00
C      7   4     1.00D-30     0.00D+00
C      9   4     3.78D+06     0.00D+00
C     11   4     1.00D-30     0.00D+00
C     13   4     1.10D+06     0.00D+00
C      7   6     1.03D+06     0.00D+00
C      9   6     1.19D+06     0.00D+00
C     11   6     6.42D+05     0.00D+00
C     13   6     5.73D+05     0.00D+00
C     15   6     1.16D+07     0.00D+00
C     11   7     1.00D-30     0.00D+00
