
Ne+10     H + 0 (2) / receiver, donor (donor state n=2)       /        /
    9               / number of energies
    6               / nmin
   15               / nmax
               0.01     0.02     0.05     0.10     0.20     0.50     1.00     2.00     4.20 / energies
              29.12    29.19    29.12    28.56    27.03    22.75    18.92    15.53    10.95 / alphas
           7.66E-14 7.72E-14 7.78E-14 7.91E-14 7.99E-14 8.16E-14 8.20E-14 8.22E-14 8.04E-14 / tot. xsect.(cm2)
  n  l  m                                                                                   / partial xsects.
 15  9     7.21E-18 4.45E-18 3.41E-18 4.26E-18 7.66E-18 1.96E-17 6.22E-17 1.96E-17 9.11E-17
 15 10     4.50E-18 3.56E-18 8.52E-19 5.11E-18 7.66E-18 2.90E-17 7.58E-17 2.47E-17 9.88E-17
 15 11     9.01E-19 1.78E-18 4.26E-18 8.52E-18 5.96E-18 3.58E-17 6.05E-17 3.41E-17 1.09E-16
 15 12     0.00E+00 1.78E-18 8.52E-19 8.52E-19 7.66E-18 2.55E-17 3.15E-17 2.30E-17 8.86E-17
 15 13     0.00E+00 8.91E-19 8.52E-19 3.41E-18 4.26E-18 1.53E-17 2.55E-18 2.98E-17 5.79E-17
 15 14     0.00E+00 0.00E+00 8.52E-19 2.55E-18 1.70E-18 6.81E-18 1.70E-18 1.02E-17 3.83E-17
    9               / number of energies
    6               / nmin
   15               / nmax
               5.00     6.30     8.30    10.00    12.00    12.50    15.00    20.00    25.00 / energies
               9.76     8.37     6.62     5.68     4.87     4.63     3.78     2.47     1.77 / alphas
           7.96E-14 7.81E-14 7.62E-14 7.33E-14 7.12E-14 6.98E-14 6.48E-14 4.93E-14 3.36E-14 / tot.xsects.(cm2)
  n  l  m                                                                                   / partial xsects.
  6        8.50E-18 7.66E-18 1.11E-17 1.79E-17 3.00E-17 3.15E-17 3.51E-17 4.63E-17 5.46E-17         
  6  0     0.00E+00 8.52E-19 0.00E+00 0.00E+00 2.04E-18 0.00E+00 6.51E-19 1.69E-18 2.90E-18         
  6  1     8.52E-19 8.52E-19 8.52E-19 1.70E-18 2.73E-18 3.41E-18 5.86E-18 3.95E-18 6.21E-18         
  6  2     1.70E-18 2.55E-18 3.41E-18 8.52E-19 8.18E-18 2.55E-18 3.25E-18 7.34E-18 7.04E-18         
  6  3     1.70E-18 8.52E-19 1.70E-18 5.11E-18 2.73E-18 8.52E-18 7.16E-18 1.07E-17 9.94E-18         
  6  4     1.70E-18 1.70E-18 2.55E-18 6.81E-18 6.13E-18 1.11E-17 7.81E-18 1.19E-17 1.82E-17         
  6  5     2.55E-18 8.52E-19 2.55E-18 3.41E-18 8.18E-18 5.96E-18 1.04E-17 1.07E-17 1.03E-17         
  7        4.95E-17 9.71E-17 1.40E-16 1.93E-16 2.43E-16 2.68E-16 2.30E-16 2.49E-16 2.39E-16         
  7  0     2.55E-18 0.00E+00 3.41E-18 8.52E-18 5.45E-18 4.26E-18 5.86E-18 3.95E-18 3.73E-18         
  7  1     4.26E-18 9.37E-18 1.36E-17 1.28E-17 2.32E-17 2.21E-17 1.76E-17 1.64E-17 1.12E-17         
  7  2     5.96E-18 1.62E-17 1.70E-17 2.64E-17 2.59E-17 3.41E-17 3.45E-17 1.92E-17 2.65E-17         
