N + 7     H + 0 (1)  / receiver, donor (donor state index)
    9                / number of energies
    1                / nmin
    9                / nmax
              40.      50.      60.      70.      80.      90.     100.     125.     150.   / energies         (keV/amu)
               1.23     1.28     1.33     1.40     1.46     1.55     1.56     1.71     1.80 / alpha
           1.18D-13 5.09D-14 2.61D-14 1.35D-14 7.95D-15 4.61D-15 3.10D-15 1.20D-15 5.53D-16 / total xsects.    (cm2)
  n  l  m                                                                                   / partial xsects.  (cm2)
  9  2     1.70D-16 8.29D-17 4.34D-17 2.44D-17 1.49D-17 9.87D-18 7.06D-18 3.87D-18 2.51D-18
  9  2  0  1.20D-16 5.50D-17 2.73D-17 1.49D-17 9.08D-18 6.23D-18 4.71D-18 2.91D-18 1.99D-18
  9  2  1  2.20D-17 1.24D-17 7.19D-18 4.26D-18 2.57D-18 1.59D-18 1.02D-18 4.03D-19 2.17D-19
  9  2  2  3.10D-18 1.58D-18 8.84D-19 5.32D-19 3.40D-19 2.28D-19 1.59D-19 7.51D-20 4.12D-20
  9  3     1.75D-16 9.94D-17 6.49D-17 4.63D-17 3.46D-17 2.66D-17 2.08D-17 1.15D-17 6.59D-18
  9  3  0  9.00D-17 5.56D-17 3.91D-17 2.93D-17 2.24D-17 1.74D-17 1.35D-17 7.28D-18 4.01D-18
  9  3  1  2.98D-17 1.51D-17 8.80D-18 5.83D-18 4.27D-18 3.33D-18 2.68D-18 1.64D-18 1.03D-18
  9  3  2  1.09D-17 5.98D-18 3.63D-18 2.37D-18 1.63D-18 1.17D-18 8.56D-19 4.31D-19 2.36D-19
  9  3  3  1.63D-18 8.20D-19 4.64D-19 2.86D-19 1.88D-19 1.30D-19 9.36D-20 4.58D-20 2.49D-20
  9  4     4.09D-16 2.53D-16 1.66D-16 1.12D-16 7.74D-17 5.43D-17 3.86D-17 1.73D-17 8.23D-18
  9  4  0  2.03D-16 1.28D-16 8.38D-17 5.61D-17 3.82D-17 2.63D-17 1.84D-17 7.95D-18 3.67D-18
  9  4  1  6.29D-17 4.00D-17 2.73D-17 1.92D-17 1.37D-17 9.93D-18 7.24D-18 3.39D-18 1.67D-18
  9  4  2  3.14D-17 1.78D-17 1.09D-17 7.02D-18 4.69D-18 3.22D-18 2.26D-18 1.00D-18 4.83D-19
  9  4  3  7.34D-18 4.06D-18 2.46D-18 1.58D-18 1.06D-18 7.30D-19 5.15D-19 2.33D-19 1.15D-19
  9  4  4  1.25D-18 6.29D-19 3.55D-19 2.16D-19 1.38D-19 9.27D-20 6.41D-20 2.84D-20 1.41D-20
  9  5     7.54D-16 4.12D-16 2.38D-16 1.43D-16 8.84D-17 5.61D-17 3.65D-17 1.35D-17 5.50D-18
  9  5  0  3.10D-16 1.66D-16 9.41D-17 5.54D-17 3.37D-17 2.10D-17 1.35D-17 4.81D-18 1.91D-18
  9  5  1  1.39D-16 7.87D-17 4.67D-17 2.86D-17 1.80D-17 1.15D-17 7.56D-18 2.83D-18 1.16D-18
  9  5  2  5.67D-17 3.04D-17 1.74D-17 1.04D-17 6.48D-18 4.14D-18 2.71D-18 1.02D-18 4.22D-19
  9  5  3  2.01D-17 1.06D-17 5.99D-18 3.58D-18 2.22D-18 1.42D-18 9.32D-19 3.59D-19 1.55D-19
  9  5  4  5.63D-18 2.84D-18 1.58D-18 9.41D-19 5.88D-19 3.82D-19 2.56D-19 1.06D-19 4.98D-20
  9  5  5  9.63D-19 4.63D-19 2.50D-19 1.46D-19 9.05D-20 5.88D-20 3.97D-20 1.68D-20 8.15D-21
  9  6     7.17D-16 3.46D-16 1.78D-16 9.64D-17 5.45D-17 3.19D-17 1.92D-17 6.09D-18 2.21D-18
  9  6  0  2.37D-16 1.11D-16 5.60D-17 2.98D-17 1.65D-17 9.51D-18 5.65D-18 1.73D-18 6.01D-19
  9  6  1  1.43D-16 6.98D-17 3.61D-17 1.96D-17 1.11D-17 6.47D-18 3.89D-18 1.22D-18 4.31D-19
  9  6  2  6.11D-17 3.02D-17 1.58D-17 8.69D-18 4.97D-18 2.93D-18 1.78D-18 5.73D-19 2.10D-19
