SEQ='C '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 523528949.8   NPRNTI= 5   NPRNTF=15
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   245     2    2S1 2P2 4F1         (5)2( 4.0) 32477249.7 
   246     3    2S2 2P1 4F1         (3)3( 2.0) 32477484.6 
   247     3    2S2 2P1 4F1         (3)4( 4.0) 32479534.3 
   248     2    2S1 2P2 4F1         (3)4( 3.0) 32482891.4 
   249     3    2S2 2P1 4F1         (3)2( 1.0) 32488199.4 
   250     3    2S2 2P1 4F1         (1)3( 3.0) 32490396.8 
   251     3    2S2 2P1 4F1         (1)4( 4.0) 32491366.4 
   252     3    2S2 2P1 4F1         (3)4( 5.0) 32494612.2 
   253     3    2S2 2P1 4F1         (1)2( 2.0) 32506083.5 
   254     4    2S1 2P2 4S1         (5)1( 2.0) 32596768.4 
   255     4    2S1 2P2 4S1         (3)1( 1.0) 32635019.5 
   256     4    2S1 2P2 4P1         (5)1( 1.0) 32739170.2 
   257     4    2S1 2P2 4P1         (5)2( 2.0) 32763354.3 
   258     5    2S1 2P2 4S1         (5)1( 3.0) 32795968.1 
   259     5    2S1 2P2 4S1         (3)1( 2.0) 32833038.8 
   260     4    2S1 2P2 4P1         (5)2( 3.0) 32845668.4 
   261     4    2S1 2P2 4P1         (3)0( 1.0) 32866863.0 
   262     4    2S1 2P2 4P1         (3)2( 2.0) 32881751.0 
   263     4    2S1 2P2 4P1         (3)1( 0.0) 32905737.0 
   264     5    2S1 2P2 4P1         (5)1( 3.0) 32946132.3 
   265     5    2S1 2P2 4P1         (5)0( 2.0) 32973555.3 
   266     4    2S1 2P2 4D1         (5)2( 0.0) 32981467.8 
   267     4    2S1 2P2 4D1         (5)2( 1.0) 32983519.2 
   268     4    2S1 2P2 4D1         (5)3( 2.0) 32985157.1 
   269     4    2S1 2P2 4D1         (5)3( 3.0) 33000289.0 
   270     4    2S1 2P2 4D1         (5)3( 4.0) 33008806.5 
   271     5    2S1 2P2 4P1         (5)2( 4.0) 33043600.5 
   272     4    2S1 2P2 4D1         (3)1( 2.0) 33047608.7 
   273     4    2S1 2P2 4D1         (3)3( 3.0) 33062827.5 
   274     5    2S1 2P2 4P1         (1)2( 2.0) 33067365.5 
   275     4    2S1 2P2 4D1         (3)2( 1.0) 33076388.0 
   276     5    2S1 2P2 4P1         (3)2( 3.0) 33083480.2 
   277     5    2S1 2P2 4P1         (3)1( 1.0) 33084909.3 
   278     4    2S1 2P2 4F1         (5)4( 3.0) 33102878.7 
   279     4    2S1 2P2 4F1         (5)3( 2.0) 33106965.5 
   280     6    2S1 2P2 4S1         (3)2( 1.0) 33109769.9 
   281     4    2S1 2P2 4F1         (5)4( 4.0) 33111522.2 
   282     4    2S1 2P2 4F1         (5)3( 1.0) 33114662.3 
   283     6    2S1 2P2 4S1         (3)2( 2.0) 33119686.2 
   284     4    2S1 2P2 4F1         (5)4( 5.0) 33125110.0 
   285     4    2S1 2P2 4F1         (3)4( 4.0) 33125436.0 
   286     4    2S1 2P2 4F1         (5)2( 3.0) 33125642.6 
   287     4    2S1 2P2 4F1         (3)3( 2.0) 33138344.8 
   288     7    2S1 2P2 4S1         (3)1( 0.0) 33150628.7 
   289     7    2S1 2P2 4S1         (3)1( 1.0) 33152766.8 
   290     5    2S1 2P2 4D1         (5)2( 4.0) 33181612.8 
   291     5    2S1 2P2 4D1         (5)2( 3.0) 33193955.4 
   292     5    2S1 2P2 4D1         (5)1( 2.0) 33204935.5 
   293     5    2S1 2P2 4D1         (5)3( 5.0) 33205432.4 
   294     5    2S1 2P2 4D1         (5)1( 1.0) 33211996.5 
   295     6    2S1 2P2 4P1         (3)3( 2.0) 33249296.8 
   296     5    2S1 2P2 4D1         (1)3( 3.0) 33252889.9 
   297     5    2S1 2P2 4D1         (3)2( 2.0) 33254957.3 
   298     5    2S1 2P2 4D1         (3)3( 4.0) 33263257.4 
   299     6    2S1 2P2 4P1         (3)2( 1.0) 33264717.5 
   300     5    2S1 2P2 4D1         (3)1( 1.0) 33265576.1 
   301     5    2S1 2P2 4D1         (3)1( 0.0) 33271803.3 
   302     6    2S1 2P2 4P1         (3)1( 0.0) 33281479.1 
   303     5    2S1 2P2 4F1         (5)3( 4.0) 33307588.2 
   304     5    2S1 2P2 4F1         (5)3( 3.0) 33308446.9 
   305     5    2S1 2P2 4F1         (5)3( 5.0) 33309722.4 
   306     5    2S1 2P2 4F1         (5)2( 2.0) 33310242.2 
   307     5    2S1 2P2 4F1         (5)2( 1.0) 33311677.4 
   308     5    2S1 2P2 4F1         (5)2( 0.0) 33312383.3 
   309     6    2S1 2P2 4P1         (3)2( 1.0) 33317855.5 
   310     5    2S1 2P2 4F1         (5)4( 6.0) 33322353.0 
   311     5    2S1 2P2 4F1         (3)3( 4.0) 33327074.6 
   312     5    2S1 2P2 4F1         (3)4( 5.0) 33327271.8 
   313     5    2S1 2P2 4F1         (3)3( 3.0) 33328527.8 
   314     5    2S1 2P2 4F1         (3)2( 2.0) 33330883.2 
   315     5    2S1 2P2 4F1         (3)2( 1.0) 33332945.0 
   316     6    2S1 2P2 4P1         (3)3( 3.0) 33363139.5 
   317     6    2S1 2P2 4P1         (3)2( 2.0) 33369578.9 
   318     7    2S1 2P2 4P1         (3)1( 0.0) 33378012.9 
   319     7    2S1 2P2 4P1         (3)1( 1.0) 33381727.0 
   320     7    2S1 2P2 4P1         (1)2( 2.0) 33403888.8 
   321     7    2S1 2P2 4P1         (3)1( 1.0) 33417037.3 
   322     6    2S1 2P2 4D1         (3)4( 3.0) 33488971.2 
   323     6    2S1 2P2 4D1         (3)3( 2.0) 33496611.6 
   324     6    2S1 2P2 4D1         (3)2( 1.0) 33523913.2 
   325     6    2S1 2P2 4D1         (1)1( 1.0) 33532337.7 
   326     6    2S1 2P2 4D1         (3)4( 4.0) 33535765.0 
   327     6    2S1 2P2 4D1         (3)2( 3.0) 33538785.9 
   328     6    2S1 2P2 4D1         (3)1( 0.0) 33542511.4 
   329     6    2S1 2P2 4D1         (3)1( 2.0) 33547986.6 
   330     7    2S1 2P2 4D1         (3)3( 2.0) 33555929.5 
   331     7    2S1 2P2 4D1         (3)1( 1.0) 33558974.3 
   332     7    2S1 2P2 4D1         (3)3( 3.0) 33575024.1 
   333     7    2S1 2P2 4D1         (3)1( 2.0) 33590572.4 
   334     6    2S1 2P2 4F1         (3)4( 3.0) 33605953.6 
   335     6    2S1 2P2 4F1         (3)3( 2.0) 33612807.0 
   336     6    2S1 2P2 4F1         (3)5( 4.0) 33614550.8 
   337     6    2S1 2P2 4F1         (3)4( 4.0) 33623845.4 
   338     6    2S1 2P2 4F1         (3)2( 1.0) 33626374.8 
   339     6    2S1 2P2 4F1         (3)2( 3.0) 33626400.0 
   340     6    2S1 2P2 4F1         (3)5( 5.0) 33633429.6 
   341     6    2S1 2P2 4F1         (3)1( 2.0) 33638305.4 
   342     7    2S1 2P2 4F1         (3)2( 2.0) 33651935.6 
   343     7    2S1 2P2 4F1         (3)4( 3.0) 33652204.1 
   344     8    2S1 2P2 4S1         (3)2( 3.0) 33659593.0 
