SEQ='N '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 564544527.3   NPRNTI= 6   NPRNTF=20
   ---------------------
   INDP         CODE                 S L   WI        WNP
   184    17    2P4 3S1             (2)0( 0.5) 25954392.1 
   185    15    2S1 2P3 3P1         (2)1( 0.5) 25957454.2 
   186    16    2P4 3P1             (4)1( 1.5) 26059691.1 
   187    16    2P4 3P1             (2)2( 2.5) 26079362.0 
   188    15    2S1 2P3 3P1         (2)1( 1.5) 26142329.1 
   189    14    2S1 2P3 3D1         (4)1( 0.5) 26258536.0 
   190    16    2P4 3P1             (2)1( 0.5) 26272659.4 
   191    14    2S1 2P3 3D1         (4)3( 4.5) 26273596.0 
   192    14    2S1 2P3 3D1         (4)1( 1.5) 26283767.8 
   193    16    2P4 3P1             (4)1( 2.5) 26298777.5 
   194    16    2P4 3P1             (4)2( 3.5) 26302378.7 
   195    14    2S1 2P3 3D1         (4)1( 2.5) 26316590.5 
   196    14    2S1 2P3 3D1         (4)2( 3.5) 26324669.7 
   197    17    2P4 3P1             (2)0( 0.5) 26348654.5 
   198    14    2S1 2P3 3D1         (2)3( 3.5) 26349135.5 
   199    14    2S1 2P3 3D1         (2)3( 2.5) 26353306.5 
   200    14    2S1 2P3 3D1         (4)0( 1.5) 26420932.2 
   201    16    2P4 3P1             (4)0( 1.5) 26479091.0 
   202    14    2S1 2P3 3D1         (2)1( 0.5) 26510706.8 
   203    17    2P4 3P1             (2)1( 1.5) 26586314.1 
   204    15    2S1 2P3 3D1         (2)1( 0.5) 26630434.9 
   205    15    2S1 2P3 3D1         (2)1( 1.5) 26642286.9 
   206    16    2P4 3D1             (4)2( 3.5) 26758507.0 
   207    16    2P4 3D1             (2)3( 3.5) 26805415.9 
   208    16    2P4 3D1             (4)3( 4.5) 26812652.0 
   209    16    2P4 3D1             (2)1( 0.5) 26871253.9 
   210    18    2P4 3P1             (4)1( 0.5) 26872766.1 
   211    18    2P4 3P1             (4)2( 1.5) 26918466.5 
   212    16    2P4 3D1             (4)1( 1.5) 26924828.2 
   213    16    2P4 3D1             (2)2( 2.5) 26967668.6 
   214    17    2P4 3D1             (2)2( 1.5) 27032471.2 
   215    17    2P4 3D1             (4)1( 2.5) 27106919.2 
   216    19    2P4 3P1             (4)2( 2.5) 27116952.7 
   217    18    2P4 3P1             (2)2( 1.5) 27149055.4 
   218    18    2P4 3P1             (4)2( 0.5) 27150844.3 
   219    19    2P4 3P1             (2)1( 1.5) 27181223.5 
   220    19    2P4 3P1             (2)2( 2.5) 27290901.7 
   221    19    2P4 3P1             (2)1( 0.5) 27480096.0 
   222    20    2P4 3S1             (4)1( 0.5) 27615516.2 
   223    18    2P4 3D1             (4)3( 3.5) 27619617.2 
   224    18    2P4 3D1             (4)3( 2.5) 27621610.0 
   225    18    2P4 3D1             (2)1( 1.5) 27686713.6 
   226    19    2P4 3D1             (2)2( 2.5) 27780749.1 
   227    19    2P4 3D1             (2)1( 1.5) 27789576.6 
   228    19    2P4 3D1             (2)3( 2.5) 27795843.6 
   229    19    2P4 3D1             (2)3( 3.5) 27813389.9 
   230    19    2P4 3D1             (2)2( 1.5) 27920801.6 
   231    19    2P4 3D1             (2)1( 0.5) 27954949.9 
   232    20    2P4 3P1             (2)1( 0.5) 28064246.2 
   233     1    2S2 2P2 4S1         (4)1( 0.5) 29189193.7 
   234     1    2S2 2P2 4P1         (4)2( 0.5) 29347421.9 
   235     1    2S2 2P2 4P1         (4)0( 1.5) 29465491.3 
   236     1    2S2 2P2 4D1         (2)1( 1.5) 29619075.1 
   237     1    2S2 2P2 4D1         (4)1( 2.5) 29670517.0 
   238     1    2S2 2P2 4F1         (2)2( 2.5) 29759954.4 
   239     1    2S2 2P2 4F1         (4)2( 3.5) 29776543.6 
   240     2    2S2 2P2 4S1         (4)1( 1.5) 29950986.2 
   241     2    2S2 2P2 4S1         (2)1( 0.5) 29964832.8 
   242     3    2S2 2P2 4S1         (2)2( 2.5) 30062747.6 
   243     3    2S2 2P2 4S1         (2)2( 1.5) 30072672.4 
   244     2    2S2 2P2 4P1         (4)1( 0.5) 30107359.8 
   245     2    2S2 2P2 4P1         (4)2( 1.5) 30126800.2 
   246     2    2S2 2P2 4P1         (4)2( 2.5) 30212740.3 
   247     3    2S2 2P2 4P1         (2)3( 2.5) 30224432.5 
   248     2    2S2 2P2 4P1         (2)1( 0.5) 30230669.0 
   249     2    2S2 2P2 4P1         (2)2( 1.5) 30237164.6 
   250     3    2S2 2P2 4P1         (4)1( 1.5) 30259019.3 
   251     3    2S2 2P2 4P1         (2)3( 3.5) 30323321.7 
   252     3    2S2 2P2 4P1         (2)1( 1.5) 30333683.7 
   253     3    2S2 2P2 4P1         (2)2( 2.5) 30358321.0 
   254     3    2S2 2P2 4P1         (2)1( 0.5) 30373934.3 
   255     2    2S2 2P2 4D1         (4)3( 1.5) 30382449.0 
   256     2    2S2 2P2 4D1         (4)2( 0.5) 30387275.0 
   257     2    2S2 2P2 4D1         (4)3( 2.5) 30397342.0 
   258     2    2S2 2P2 4D1         (4)3( 3.5) 30412677.9 
   259     2    2S2 2P2 4D1         (2)3( 2.5) 30440107.8 
   260     2    2S2 2P2 4D1         (4)2( 1.5) 30443713.6 
   261     3    2S2 2P2 4D1         (2)4( 3.5) 30491353.1 
   262     3    2S2 2P2 4D1         (2)3( 2.5) 30510367.7 
   263     2    2S2 2P2 4F1         (4)4( 2.5) 30520920.2 
   264     3    2S2 2P2 4D1         (2)4( 4.5) 30522498.6 
   265     3    2S2 2P2 4D1         (4)1( 1.5) 30523834.9 
   266     2    2S2 2P2 4F1         (4)4( 3.5) 30529097.2 
   267     2    2S2 2P2 4F1         (4)3( 1.5) 30530861.9 
   268     3    2S2 2P2 4D1         (4)1( 0.5) 30531984.8 
   269     2    2S2 2P2 4F1         (2)4( 3.5) 30538824.3 
   270     2    2S2 2P2 4F1         (4)4( 4.5) 30542143.0 
   271     3    2S2 2P2 4D1         (2)2( 2.5) 30546518.9 
   272     2    2S2 2P2 4F1         (2)3( 2.5) 30548371.5 
   273     3    2S2 2P2 4D1         (2)2( 1.5) 30556696.7 
   274     3    2S2 2P2 4D1         (4)2( 3.5) 30563290.9 
   275     3    2S2 2P2 4D1         (2)1( 0.5) 30570637.9 
   276     3    2S2 2P2 4F1         (2)4( 3.5) 30633831.7 
   277     3    2S2 2P2 4F1         (2)3( 2.5) 30636826.5 
   278     3    2S2 2P2 4F1         (2)5( 4.5) 30638586.5 
   279     3    2S2 2P2 4F1         (2)2( 1.5) 30642786.3 
   280     3    2S2 2P2 4F1         (2)1( 0.5) 30646879.3 
   281     3    2S2 2P2 4F1         (2)3( 3.5) 30650684.3 
   282     3    2S2 2P2 4F1         (2)4( 4.5) 30652264.8 
   283     3    2S2 2P2 4F1         (2)5( 5.5) 30653582.3 
   284     3    2S2 2P2 4F1         (2)2( 2.5) 30655642.4 
   285     3    2S2 2P2 4F1         (2)1( 1.5) 30661569.4 
   286     4    2S2 2P2 4S1         (4)1( 2.5) 30890813.6 
   287     4    2S2 2P2 4S1         (2)1( 1.5) 30903499.0 
   288     5    2S1 2P3 4S1         (6)0( 2.5) 30945643.3 
   289     5    2S1 2P3 4S1         (4)0( 1.5) 30991543.0 
   290     4    2S2 2P2 4P1         (2)2( 1.5) 31070520.1 
