SEQ='BE'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 426200573.2   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   630287.2 

   LS RESOLVED TERM INDEXING            BWNR= 469748931.7   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
             7.19E-14  4.05E-14  2.48E-14  1.42E-14  6.18E-15  3.04E-15  1.41E-15  4.66E-16  1.92E-16
    28       1.16E-12  8.20E-13  5.18E-13  3.67E-13  2.59E-13  1.64E-13  1.16E-13  8.16E-14  5.10E-14  3.53E-14
             2.38E-14  1.35E-14  8.23E-15  4.74E-15  2.06E-15  1.01E-15  4.68E-16  1.55E-16  6.40E-17
    29       1.15E-11  8.15E-12  5.15E-12  3.64E-12  2.56E-12  1.61E-12  1.13E-12  7.78E-13  4.61E-13  2.96E-13
             1.79E-13  8.22E-14  4.13E-14  1.91E-14  6.18E-15  2.47E-15  9.43E-16  2.54E-16  9.19E-17
    30       3.82E-12  2.70E-12  1.71E-12  1.21E-12  8.51E-13  5.35E-13  3.74E-13  2.58E-13  1.53E-13  9.85E-14
             5.97E-14  2.73E-14  1.37E-14  6.36E-15  2.06E-15  8.21E-16  3.14E-16  8.45E-17  3.06E-17
    31       1.73E-11  1.22E-11  7.70E-12  5.42E-12  3.80E-12  2.35E-12  1.61E-12  1.06E-12  5.73E-13  3.29E-13
             1.73E-13  6.40E-14  2.74E-14  1.10E-14  3.06E-15  1.12E-15  4.06E-16  1.04E-16  3.69E-17
    32       5.70E-12  4.02E-12  2.54E-12  1.79E-12  1.26E-12  7.77E-13  5.31E-13  3.52E-13  1.89E-13  1.09E-13
             5.72E-14  2.12E-14  9.09E-15  3.65E-15  1.02E-15  3.73E-16  1.35E-16  3.45E-17  1.23E-17
    33       1.26E-11  8.93E-12  5.62E-12  3.94E-12  2.74E-12  1.65E-12  1.09E-12  6.77E-13  3.22E-13  1.65E-13
             7.65E-14  2.44E-14  9.52E-15  3.57E-15  9.38E-16  3.36E-16  1.20E-16  3.04E-17  1.08E-17
    34       4.21E-12  2.97E-12  1.87E-12  1.31E-12  9.10E-13  5.49E-13  3.61E-13  2.25E-13  1.07E-13  5.49E-14
             2.55E-14  8.11E-15  3.17E-15  1.19E-15  3.12E-16  1.12E-16  3.99E-17  1.01E-17  3.59E-18
    55       1.95E-12  1.38E-12  8.71E-13  6.15E-13  4.35E-13  2.75E-13  1.93E-13  1.36E-13  8.40E-14  5.75E-14
             3.84E-14  2.13E-14  1.29E-14  7.39E-15  3.19E-15  1.56E-15  7.22E-16  2.39E-16  9.84E-17
    56       6.44E-13  4.55E-13  2.88E-13  2.03E-13  1.44E-13  9.08E-14  6.40E-14  4.50E-14  2.79E-14  1.91E-14
             1.28E-14  7.10E-15  4.30E-15  2.46E-15  1.06E-15  5.21E-16  2.40E-16  7.97E-17  3.28E-17
    57       6.42E-12  4.53E-12  2.86E-12  2.02E-12  1.43E-12  8.95E-13  6.25E-13  4.31E-13  2.54E-13  1.62E-13
             9.76E-14  4.43E-14  2.21E-14  1.02E-14  3.29E-15  1.31E-15  5.01E-16  1.35E-16  4.88E-17
    58       2.13E-12  1.51E-12  9.51E-13  6.72E-13  4.74E-13  2.97E-13  2.08E-13  1.43E-13  8.44E-14  5.40E-14
             3.25E-14  1.48E-14  7.38E-15  3.40E-15  1.10E-15  4.37E-16  1.67E-16  4.48E-17  1.63E-17
    59       1.05E-11  7.43E-12  4.69E-12  3.30E-12  2.32E-12  1.43E-12  9.78E-13  6.48E-13  3.47E-13  1.99E-13
             1.04E-13  3.85E-14  1.65E-14  6.59E-15  1.83E-15  6.72E-16  2.43E-16  6.22E-17  2.21E-17
    60       3.48E-12  2.46E-12  1.55E-12  1.09E-12  7.67E-13  4.75E-13  3.24E-13  2.15E-13  1.15E-13  6.61E-14
             3.46E-14  1.28E-14  5.47E-15  2.19E-15  6.09E-16  2.24E-16  8.07E-17  2.07E-17  7.35E-18
    61       1.11E-11  7.85E-12  4.94E-12  3.46E-12  2.41E-12  1.45E-12  9.56E-13  5.96E-13  2.84E-13  1.45E-13
             6.72E-14  2.14E-14  8.34E-15  3.13E-15  8.22E-16  2.95E-16  1.05E-16  2.67E-17  9.44E-18
    62       6.08E-12  4.28E-12  2.68E-12  1.87E-12  1.28E-12  7.45E-13  4.67E-13  2.71E-13  1.14E-13  5.28E-14
             2.23E-14  6.48E-15  2.42E-15  8.80E-16  2.27E-16  8.06E-17  2.86E-17  7.25E-18  2.56E-18
    63       2.03E-12  1.43E-12  8.94E-13  6.22E-13  4.27E-13  2.48E-13  1.56E-13  9.03E-14  3.80E-14  1.76E-14
             7.45E-15  2.16E-15  8.06E-16  2.93E-16  7.55E-17  2.69E-17  9.53E-18  2.42E-18  8.55E-19
    64       3.70E-12  2.61E-12  1.64E-12  1.15E-12  8.01E-13  4.83E-13  3.18E-13  1.98E-13  9.44E-14  4.82E-14
             2.24E-14  7.11E-15  2.78E-15  1.04E-15  2.74E-16  9.81E-17  3.49E-17  8.88E-18  3.14E-18
    91       1.21E-12  8.55E-13  5.40E-13  3.82E-13  2.70E-13  1.70E-13  1.19E-13  8.34E-14  5.11E-14  3.46E-14
             2.29E-14  1.26E-14  7.59E-15  4.32E-15  1.85E-15  9.08E-16  4.18E-16  1.39E-16  5.70E-17
    92       4.00E-13  2.83E-13  1.79E-13  1.26E-13  8.93E-14  5.63E-14  3.96E-14  2.77E-14  1.70E-14  1.15E-14
             7.62E-15  4.19E-15  2.53E-15  1.44E-15  6.18E-16  3.03E-16  1.39E-16  4.62E-17  1.90E-17
    93       3.98E-12  2.81E-12  1.78E-12  1.25E-12  8.84E-13  5.54E-13  3.86E-13  2.65E-13  1.55E-13  9.84E-14
             5.88E-14  2.65E-14  1.32E-14  6.07E-15  1.95E-15  7.77E-16  2.97E-16  7.97E-17  2.89E-17
    94       1.32E-12  9.35E-13  5.91E-13  4.17E-13  2.94E-13  1.84E-13  1.28E-13  8.82E-14  5.16E-14  3.28E-14
             1.96E-14  8.83E-15  4.40E-15  2.02E-15  6.51E-16  2.59E-16  9.89E-17  2.65E-17  9.62E-18
    95       6.78E-12  4.79E-12  3.02E-12  2.13E-12  1.49E-12  9.23E-13  6.29E-13  4.16E-13  2.22E-13  1.27E-13
             6.62E-14  2.43E-14  1.04E-14  4.15E-15  1.15E-15  4.23E-16  1.53E-16  3.91E-17  1.39E-17
    96       2.25E-12  1.59E-12  1.00E-12  7.06E-13  4.95E-13  3.06E-13  2.09E-13  1.38E-13  7.37E-14  4.21E-14
             2.20E-14  8.10E-15  3.45E-15  1.38E-15  3.84E-16  1.41E-16  5.08E-17  1.30E-17  4.63E-18
    97       8.30E-12  5.85E-12  3.68E-12  2.58E-12  1.80E-12  1.08E-12  7.12E-13  4.44E-13  2.11E-13  1.08E-13
             4.98E-14  1.58E-14  6.17E-15  2.31E-15  6.07E-16  2.18E-16  7.75E-17  1.97E-17  6.97E-18
    98       6.92E-12  4.88E-12  3.06E-12  2.13E-12  1.46E-12  8.49E-13  5.32E-13  3.09E-13  1.30E-13  6.01E-14
             2.54E-14  7.37E-15  2.75E-15  1.00E-15  2.58E-16  9.17E-17  3.25E-17  8.24E-18  2.92E-18
