SEQ='B '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 469748931.9   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   571855.3 
     3          2S1 2P1             (1)1( 1.0)  1096879.4*
     4          2P2                 (3)1( 4.0)  1470156.1*
     5          2P2                 (1)2( 2.0)  1653649.1*
     6          2P2                 (1)0( 0.0)  2036068.3*

   LS RESOLVED TERM INDEXING            BWNR= 511255702.8   NTRM= 289
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   247     2    2S1 2P1 8D1         (2)2( 4.5) 39594643.3 
   248     2    2S1 2P1 8D1         (4)1( 5.5) 39595087.5 
   249     2    2S1 2P1 8F1         (4)3(13.5) 39599587.8 
   250     2    2S1 2P1 8F1         (2)3( 6.5) 39600278.3 
   251     2    2S1 2P1 8D1         (2)3( 6.5) 39600344.9 
   252     2    2S1 2P1 8F1         (4)4(17.5) 39600674.4 
   253     2    2S1 2P1 8D1         (2)1( 2.5) 39601080.2 
   254     2    2S1 2P1 8F1         (4)2( 9.5) 39601928.2 
   255     2    2S1 2P1 8G1         (4)3(13.5) 39602094.5 
   256     2    2S1 2P1 8G1         (2)3( 6.5) 39602094.5 
   257     2    2S1 2P1 8G1         (4)4(17.5) 39602094.5 
   258     2    2S1 2P1 8G1         (2)4( 8.5) 39602094.5 
   259     2    2S1 2P1 8G1         (4)5(21.5) 39602094.5 
   260     2    2S1 2P1 8G1         (2)5(10.5) 39602094.5 
   261     2    2S1 2P1 8H1         (4)4(17.5) 39602376.1 
   262     2    2S1 2P1 8H1         (2)4( 8.5) 39602376.1 
   263     2    2S1 2P1 8H1         (4)5(21.5) 39602376.1 
   264     2    2S1 2P1 8H1         (2)5(10.5) 39602376.1 
   265     2    2S1 2P1 8H1         (4)6(25.5) 39602376.1 
   266     2    2S1 2P1 8H1         (2)6(12.5) 39602376.1 
   267     2    2S1 2P1 8I1         (4)5(21.5) 39602501.9 
   268     2    2S1 2P1 8I1         (2)5(10.5) 39602501.9 
   269     2    2S1 2P1 8I1         (4)6(25.5) 39602501.9 
   270     2    2S1 2P1 8I1         (2)6(12.5) 39602501.9 
   271     2    2S1 2P1 8I1         (4)7(29.5) 39602501.9 
   272     2    2S1 2P1 8I1         (2)7(14.5) 39602501.9 
   273     2    2S1 2P1 8J1         (4)6(25.5) 39602566.2 
   274     2    2S1 2P1 8J1         (2)6(12.5) 39602566.2 
   275     2    2S1 2P1 8J1         (4)7(29.5) 39602566.2 
   276     2    2S1 2P1 8J1         (2)7(14.5) 39602566.2 
   277     2    2S1 2P1 8J1         (4)8(33.5) 39602566.2 
   278     2    2S1 2P1 8J1         (2)8(16.5) 39602566.2 
   279     2    2S1 2P1 8F1         (2)4( 8.5) 39603180.3 
   280     2    2S1 2P1 8F1         (2)2( 4.5) 39603759.0 
   281     3    2S1 2P1 8S1         (2)1( 2.5) 40093243.8 
   282     3    2S1 2P1 8P1         (2)2( 4.5) 40107601.5 
   283     3    2S1 2P1 8P1         (2)1( 2.5) 40107891.7 
   284     3    2S1 2P1 8P1         (2)0( 0.5) 40110195.2 
   285     3    2S1 2P1 8D1         (2)2( 4.5) 40119476.2 
