SEQ='HE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 198122701.0   NPRNTI= 1   NPRNTF= 1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S1                 (2)0( 0.5)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 390207216.3   NLVL= 127
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    24       6.04E-12  4.27E-12  2.69E-12  1.90E-12  1.33E-12  8.23E-13  5.61E-13  3.71E-13  1.99E-13  1.14E-13
             5.96E-14  2.20E-14  9.37E-15  3.75E-15  1.04E-15  3.82E-16  1.38E-16  3.53E-17  1.25E-17
    25       4.00E-12  2.83E-12  1.79E-12  1.26E-12  8.91E-13  5.59E-13  3.90E-13  2.69E-13  1.59E-13  1.01E-13
             6.10E-14  2.77E-14  1.38E-14  6.33E-15  2.03E-15  8.06E-16  3.07E-16  8.24E-17  2.98E-17
    26       8.36E-12  5.91E-12  3.73E-12  2.63E-12  1.84E-12  1.14E-12  7.77E-13  5.15E-13  2.76E-13  1.58E-13
             8.29E-14  3.06E-14  1.31E-14  5.22E-15  1.45E-15  5.32E-16  1.92E-16  4.92E-17  1.75E-17
    27       3.18E-12  2.25E-12  1.41E-12  9.90E-13  6.89E-13  4.15E-13  2.73E-13  1.70E-13  8.09E-14  4.13E-14
             1.92E-14  6.09E-15  2.38E-15  8.90E-16  2.34E-16  8.39E-17  2.99E-17  7.59E-18  2.69E-18
    28       4.45E-12  3.14E-12  1.98E-12  1.39E-12  9.64E-13  5.81E-13  3.82E-13  2.38E-13  1.13E-13  5.79E-14
             2.68E-14  8.52E-15  3.33E-15  1.25E-15  3.28E-16  1.17E-16  4.18E-17  1.06E-17  3.76E-18
    29       5.97E-12  4.22E-12  2.66E-12  1.87E-12  1.32E-12  8.13E-13  5.55E-13  3.67E-13  1.97E-13  1.13E-13
             5.92E-14  2.18E-14  9.32E-15  3.73E-15  1.04E-15  3.80E-16  1.37E-16  3.51E-17  1.25E-17
    30       5.69E-12  4.02E-12  2.53E-12  1.77E-12  1.23E-12  7.43E-13  4.88E-13  3.05E-13  1.45E-13  7.41E-14
             3.43E-14  1.09E-14  4.26E-15  1.60E-15  4.20E-16  1.51E-16  5.36E-17  1.36E-17  4.82E-18
    31       4.43E-12  3.13E-12  1.97E-12  1.38E-12  9.59E-13  5.78E-13  3.80E-13  2.37E-13  1.13E-13  5.76E-14
             2.67E-14  8.49E-15  3.32E-15  1.24E-15  3.27E-16  1.17E-16  4.17E-17  1.06E-17  3.75E-18
    32       2.16E-12  1.53E-12  9.66E-13  6.82E-13  4.82E-13  3.03E-13  2.13E-13  1.49E-13  9.11E-14  6.17E-14
             4.07E-14  2.22E-14  1.33E-14  7.49E-15  3.18E-15  1.54E-15  7.04E-16  2.31E-16  9.44E-17
