SEQ='MG'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 710995688.1   NPRNTI= 2   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 2.5)   534947.7 
     3          3D1                 (2)2( 4.5)  1276560.9*

   LS RESOLVED TERM INDEXING            BWNR= 724641922.7   NTRM= 267
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
             2.05E-14  1.22E-14  7.89E-15  4.81E-15  2.25E-15  1.16E-15  5.63E-16  1.96E-16  8.29E-17
    20       1.02E-11  7.21E-12  4.56E-12  3.22E-12  2.28E-12  1.44E-12  1.01E-12  7.07E-13  4.32E-13  2.87E-13
             1.82E-13  8.92E-14  4.73E-14  2.30E-14  7.86E-15  3.24E-15  1.27E-15  3.47E-16  1.27E-16
    21       3.37E-12  2.38E-12  1.51E-12  1.06E-12  7.52E-13  4.75E-13  3.34E-13  2.34E-13  1.43E-13  9.51E-14
             6.03E-14  2.96E-14  1.57E-14  7.64E-15  2.61E-15  1.08E-15  4.21E-16  1.16E-16  4.23E-17
    22       1.63E-11  1.15E-11  7.25E-12  5.11E-12  3.59E-12  2.23E-12  1.53E-12  1.02E-12  5.57E-13  3.26E-13
             1.76E-13  6.73E-14  2.95E-14  1.21E-14  3.43E-15  1.27E-15  4.62E-16  1.19E-16  4.23E-17
    24       5.39E-12  3.81E-12  2.40E-12  1.69E-12  1.19E-12  7.38E-13  5.06E-13  3.38E-13  1.85E-13  1.08E-13
             5.83E-14  2.24E-14  9.82E-15  4.02E-15  1.14E-15  4.23E-16  1.53E-16  3.95E-17  1.41E-17
    26       1.08E-11  7.64E-12  4.80E-12  3.37E-12  2.34E-12  1.41E-12  9.31E-13  5.82E-13  2.79E-13  1.44E-13
             6.71E-14  2.15E-14  8.47E-15  3.19E-15  8.42E-16  3.02E-16  1.08E-16  2.74E-17  9.70E-18
    28       3.54E-12  2.50E-12  1.57E-12  1.10E-12  7.67E-13  4.63E-13  3.05E-13  1.91E-13  9.16E-14  4.72E-14
             2.21E-14  7.10E-15  2.79E-15  1.05E-15  2.78E-16  9.97E-17  3.55E-17  9.03E-18  3.20E-18
    46       6.11E-16  4.32E-16  2.74E-16  1.94E-16  1.38E-16  8.85E-17  6.38E-17  4.64E-17  3.06E-17  2.19E-17
             1.49E-17  7.90E-18  4.38E-18  2.20E-18  7.72E-19  3.22E-19  1.27E-19  3.50E-20  1.28E-20
    47       1.71E-15  1.21E-15  7.65E-16  5.42E-16  3.85E-16  2.47E-16  1.78E-16  1.30E-16  8.59E-17  6.15E-17
             4.19E-17  2.23E-17  1.23E-17  6.20E-18  2.18E-18  9.08E-19  3.58E-19  9.88E-20  3.63E-20
    48       1.84E-15  1.30E-15  8.21E-16  5.80E-16  4.10E-16  2.59E-16  1.82E-16  1.26E-16  7.35E-17  4.56E-17
             2.59E-17  1.05E-17  4.76E-18  1.99E-18  5.75E-19  2.15E-19  7.82E-20  2.02E-20  7.19E-21
    49       1.40E-15  9.87E-16  6.24E-16  4.41E-16  3.12E-16  1.97E-16  1.39E-16  9.62E-17  5.65E-17  3.52E-17
             2.01E-17  8.19E-18  3.72E-18  1.56E-18  4.50E-19  1.68E-19  6.13E-20  1.58E-20  5.63E-21
    50       1.23E-15  8.71E-16  5.49E-16  3.86E-16  2.70E-16  1.66E-16  1.12E-16  7.22E-17  3.65E-17  1.96E-17
             9.51E-18  3.17E-18  1.27E-18  4.83E-19  1.29E-19  4.63E-20  1.65E-20  4.21E-21  1.49E-21
    51       3.36E-15  2.37E-15  1.50E-15  1.05E-15  7.38E-16  4.53E-16  3.06E-16  1.98E-16  1.01E-16  5.42E-17
             2.64E-17  8.81E-18  3.53E-18  1.35E-18  3.58E-19  1.29E-19  4.61E-20  1.17E-20  4.16E-21
    52       1.50E-12  1.06E-12  6.70E-13  4.74E-13  3.35E-13  2.12E-13  1.50E-13  1.06E-13  6.68E-14  4.66E-14
             3.21E-14  1.88E-14  1.20E-14  7.28E-15  3.38E-15  1.75E-15  8.43E-16  2.93E-16  1.24E-16
    53       4.94E-13  3.49E-13  2.21E-13  1.56E-13  1.10E-13  6.99E-14  4.95E-14  3.50E-14  2.21E-14  1.54E-14
             1.06E-14  6.26E-15  4.00E-15  2.42E-15  1.13E-15  5.82E-16  2.81E-16  9.76E-17  4.13E-17
    54       5.35E-12  3.78E-12  2.39E-12  1.69E-12  1.19E-12  7.53E-13  5.30E-13  3.71E-13  2.26E-13  1.50E-13
             9.45E-14  4.62E-14  2.44E-14  1.18E-14  4.04E-15  1.66E-15  6.49E-16  1.78E-16  6.51E-17
    55       1.77E-12  1.25E-12  7.93E-13  5.60E-13  3.96E-13  2.50E-13  1.76E-13  1.23E-13  7.50E-14  4.98E-14
             3.14E-14  1.54E-14  8.12E-15  3.94E-15  1.34E-15  5.53E-16  2.16E-16  5.93E-17  2.17E-17
    56       9.51E-12  6.71E-12  4.24E-12  2.99E-12  2.10E-12  1.30E-12  8.93E-13  5.96E-13  3.26E-13  1.91E-13
             1.02E-13  3.92E-14  1.72E-14  7.04E-15  2.00E-15  7.39E-16  2.68E-16  6.91E-17  2.46E-17
    57       3.15E-12  2.23E-12  1.41E-12  9.91E-13  6.96E-13  4.32E-13  2.96E-13  1.98E-13  1.08E-13  6.34E-14
             3.41E-14  1.31E-14  5.72E-15  2.34E-15  6.64E-16  2.46E-16  8.93E-17  2.30E-17  8.18E-18
