SEQ='F '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 627005032.4   NPRNTI= 3   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)   174974.5 
     3          2S2 2P4             (1)0( 0.0)   369237.5 
     4          2S1 2P5             (3)1( 4.0)  1422111.5*
     5          2S1 2P5             (1)1( 1.0)  1935406.6*
     6          2P6                 (1)0( 0.0)  3334907.6*

   LS RESOLVED TERM INDEXING            BWNR= 662593533.5   NTRM= 342
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   246     2    2S2 2P4 7I1         (2)5(10.5) 33173966.9 
   247     2    2S2 2P4 7I1         (2)6(12.5) 33173966.9 
   248     2    2S2 2P4 7I1         (2)7(14.5) 33173966.9 
   249     2    2S2 2P4 7I1         (2)8(16.5) 33173966.9 
   250     3    2S2 2P4 7S1         (2)0( 0.5) 33268466.6 
   251     3    2S2 2P4 7P1         (2)1( 2.5) 33303684.4 
   252     3    2S2 2P4 7D1         (2)2( 4.5) 33342767.4 
   253     3    2S2 2P4 7F1         (2)3( 6.5) 33364692.2 
   254     3    2S2 2P4 7G1         (2)4( 8.5) 33366821.7 
   255     3    2S2 2P4 7H1         (2)5(10.5) 33367795.1 
   256     3    2S2 2P4 7I1         (2)6(12.5) 33368229.9 
   257     1    2S2 2P4 8S1         (4)1( 5.5) 33538592.4 
   258     1    2S2 2P4 8S1         (2)1( 2.5) 33541203.2 
   259     1    2S2 2P4 8P1         (4)1( 5.5) 33560094.5 
   260     1    2S2 2P4 8P1         (4)2( 9.5) 33561980.6 
   261     1    2S2 2P4 8P1         (2)2( 4.5) 33563721.5 
   262     1    2S2 2P4 8P1         (4)0( 1.5) 33564809.6 
   263     1    2S2 2P4 8P1         (2)0( 0.5) 33564809.6 
   264     1    2S2 2P4 8P1         (2)1( 2.5) 33568383.2 
   265     1    2S2 2P4 8D1         (4)2( 9.5) 33585198.2 
   266     1    2S2 2P4 8D1         (4)3(13.5) 33587745.4 
   267     1    2S2 2P4 8D1         (4)1( 5.5) 33589160.6 
   268     1    2S2 2P4 8D1         (2)3( 6.5) 33589809.5 
   269     1    2S2 2P4 8D1         (2)1( 2.5) 33593532.4 
   270     1    2S2 2P4 8D1         (2)2( 4.5) 33594628.2 
   271     1    2S2 2P4 8F1         (4)3(13.5) 33601683.5 
   272     1    2S2 2P4 8F1         (4)4(17.5) 33603555.3 
   273     1    2S2 2P4 8F1         (2)3( 6.5) 33603570.5 
   274     1    2S2 2P4 8F1         (2)4( 8.5) 33604083.7 
   275     1    2S2 2P4 8F1         (4)2( 9.5) 33604210.4 
   276     1    2S2 2P4 8G1         (4)3(13.5) 33605022.8 
   277     1    2S2 2P4 8G1         (2)3( 6.5) 33605022.8 
   278     1    2S2 2P4 8G1         (4)4(17.5) 33605022.8 
   279     1    2S2 2P4 8G1         (2)4( 8.5) 33605022.8 
   280     1    2S2 2P4 8G1         (4)5(21.5) 33605022.8 
   281     1    2S2 2P4 8G1         (2)5(10.5) 33605022.8 
   282     1    2S2 2P4 8F1         (2)2( 4.5) 33605243.2 
   283     1    2S2 2P4 8H1         (4)4(17.5) 33605674.8 
   284     1    2S2 2P4 8H1         (2)4( 8.5) 33605674.8 
   285     1    2S2 2P4 8H1         (4)5(21.5) 33605674.8 
   286     1    2S2 2P4 8H1         (2)5(10.5) 33605674.8 
   287     1    2S2 2P4 8H1         (4)6(25.5) 33605674.8 
   288     1    2S2 2P4 8H1         (2)6(12.5) 33605674.8 
   289     1    2S2 2P4 8I1         (4)5(21.5) 33605966.1 
   290     1    2S2 2P4 8I1         (2)5(10.5) 33605966.1 
   291     1    2S2 2P4 8I1         (4)6(25.5) 33605966.1 
   292     1    2S2 2P4 8I1         (2)6(12.5) 33605966.1 
   293     1    2S2 2P4 8I1         (4)7(29.5) 33605966.1 
   294     1    2S2 2P4 8I1         (2)7(14.5) 33605966.1 
   295     1    2S2 2P4 8J1         (4)6(25.5) 33606114.9 
   296     1    2S2 2P4 8J1         (2)6(12.5) 33606114.9 
   297     1    2S2 2P4 8J1         (4)7(29.5) 33606114.9 
   298     1    2S2 2P4 8J1         (2)7(14.5) 33606114.9 
