SEQ='NE'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 662593533.5   NPRNTI= 1   NPRNTF= 1
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 2.5)        0.0 

   LS RESOLVED TERM INDEXING            BWNR= 696858141.5   NTRM= 175
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   157     1    2S2 2P5 8G1         (1)5( 5.0) 32395823.9 
   158     1    2S2 2P5 8H1         (3)4(13.0) 32396566.7 
   159     1    2S2 2P5 8H1         (1)4( 4.0) 32396566.7 
   160     1    2S2 2P5 8H1         (3)5(16.0) 32396566.7 
   161     1    2S2 2P5 8H1         (1)5( 5.0) 32396566.7 
   162     1    2S2 2P5 8H1         (3)6(19.0) 32396566.7 
   163     1    2S2 2P5 8H1         (1)6( 6.0) 32396566.7 
   164     1    2S2 2P5 8I1         (3)5(16.0) 32396898.4 
   165     1    2S2 2P5 8I1         (1)5( 5.0) 32396898.4 
   166     1    2S2 2P5 8I1         (3)6(19.0) 32396898.4 
   167     1    2S2 2P5 8I1         (1)6( 6.0) 32396898.4 
   168     1    2S2 2P5 8I1         (3)7(22.0) 32396898.4 
   169     1    2S2 2P5 8I1         (1)7( 7.0) 32396898.4 
   170     1    2S2 2P5 8J1         (3)6(19.0) 32397068.0 
   171     1    2S2 2P5 8J1         (1)6( 6.0) 32397068.0 
   172     1    2S2 2P5 8J1         (3)7(22.0) 32397068.0 
   173     1    2S2 2P5 8J1         (1)7( 7.0) 32397068.0 
   174     1    2S2 2P5 8J1         (3)8(25.0) 32397068.0 
   175     1    2S2 2P5 8J1         (1)8( 8.0) 32397068.0 

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (2P)  SPNPRT= 2

   INDX TE=  1.09E+04  2.18E+04  5.45E+04  1.09E+05  2.18E+05  5.45E+05  1.09E+06  2.18E+06  5.45E+06  1.09E+07
   ---- ---  2.18E+07  5.45E+07  1.09E+08  2.18E+08  5.45E+08  1.09E+09  2.18E+09  5.45E+09  1.09E+10
     1       1.85E-11  1.31E-11  8.29E-12  5.85E-12  4.13E-12  2.60E-12  1.82E-12  1.26E-12  7.57E-13  4.96E-13
             3.09E-13  1.48E-13  7.74E-14  3.71E-14  1.25E-14  5.11E-15  1.99E-15  5.41E-16  1.98E-16
     2       6.80E-12  4.81E-12  3.04E-12  2.15E-12  1.52E-12  9.62E-13  6.81E-13  4.82E-13  3.05E-13  2.15E-13
             1.50E-13  8.91E-14  5.72E-14  3.46E-14  1.60E-14  8.18E-15  3.91E-15  1.35E-15  5.66E-16
     3       2.24E-12  1.59E-12  1.00E-12  7.09E-13  5.02E-13  3.18E-13  2.25E-13  1.59E-13  1.01E-13  7.12E-14
             4.96E-14  2.96E-14  1.90E-14  1.15E-14  5.31E-15  2.72E-15  1.30E-15  4.49E-16  1.89E-16
