SEQ='BE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 436244610.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   704485.6 
     3          2P1                 (2)1( 1.5)  1647115.9 

   IC RESOLVED LEVEL INDEXING           BWNR= 480950912.4   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   232     1    2S1 7H1             (1)*( 6.0) 41299651.4 
   233     1    2S1 7I1             (1)*( 5.0) 41299782.1 
   234     1    2S1 7I1             (1)*( 6.0) 41299782.1 
   235     1    2S1 7I1             (1)*( 6.0) 41299782.1 
   236     1    2S1 7I1             (1)*( 7.0) 41299782.1 
   237     3    2P1 6S1             (3)1( 2.0) 41599813.2 
   238     3    2P1 6S1             (1)1( 1.0) 41603084.1 
   239     3    2P1 6P1             (3)1( 1.0) 41630945.0 
   240     3    2P1 6P1             (1)2( 2.0) 41632466.9 
   241     3    2P1 6P1             (3)2( 3.0) 41659979.4 
   242     3    2P1 6P1             (1)1( 1.0) 41660193.2 
   243     3    2P1 6P1             (3)1( 2.0) 41669758.0 
   244     3    2P1 6P1             (1)0( 0.0) 41679872.2 
   245     3    2P1 6D1             (3)2( 2.0) 41681269.0 
   246     3    2P1 6D1             (3)3( 3.0) 41684870.4 
   247     3    2P1 6D1             (3)1( 1.0) 41686509.6 
   248     3    2P1 6D1             (3)1( 0.0) 41686710.1 
   249     3    2P1 6D1             (3)3( 4.0) 41688811.1 
   250     3    2P1 6D1             (3)1( 2.0) 41693583.2 
   251     3    2P1 6F1             (3)3( 3.0) 41699738.6 
   252     3    2P1 6D1             (1)3( 3.0) 41701280.8 
   253     3    2P1 6F1             (3)3( 2.0) 41702433.5 
   254     3    2P1 6F1             (3)4( 4.0) 41702969.0 
   255     3    2P1 6D1             (1)1( 1.0) 41704673.6 
   256     3    2P1 6F1             (3)2( 1.0) 41705287.9 
   257     3    2P1 6F1             (1)3( 3.0) 41706784.9 
   258     3    2P1 6F1             (3)4( 5.0) 41707516.2 
   259     3    2P1 6F1             (1)4( 4.0) 41707669.5 
   260     3    2P1 6F1             (1)2( 2.0) 41711879.2 
   261     3    2P1 6G1             (1)*( 2.0) 41716052.9 
   262     3    2P1 6G1             (1)*( 3.0) 41716052.9 
   263     3    2P1 6G1             (1)*( 4.0) 41716052.9 
   264     3    2P1 6G1             (1)*( 5.0) 41716052.9 
   265     3    2P1 6G1             (1)*( 3.0) 41716052.9 
   266     3    2P1 6G1             (1)*( 4.0) 41716052.9 
   267     3    2P1 6G1             (1)*( 5.0) 41716052.9 
   268     3    2P1 6G1             (1)*( 6.0) 41716052.9 
   269     3    2P1 6H1             (1)*( 3.0) 41716517.4 
   270     3    2P1 6H1             (1)*( 4.0) 41716517.4 
   271     3    2P1 6H1             (1)*( 5.0) 41716517.4 
