SEQ='B '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 480950912.6   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   300     3    2S1 2P1 6P1         (2)2( 1.5) 38839238.4 
   301     3    2S1 2P1 6D1         (4)3( 2.5) 38861749.1 
   302     3    2S1 2P1 6D1         (4)2( 1.5) 38866762.1 
   303     3    2S1 2P1 6D1         (4)2( 0.5) 38869026.9 
   304     3    2S1 2P1 6D1         (4)2( 3.5) 38876139.8 
   305     3    2S1 2P1 6D1         (2)2( 1.5) 38880148.4 
   306     3    2S1 2P1 6D1         (2)3( 2.5) 38881086.2 
   307     3    2S1 2P1 6F1         (4)4( 3.5) 38891107.5 
   308     3    2S1 2P1 6F1         (4)3( 1.5) 38891365.8 
   309     3    2S1 2P1 6F1         (4)2( 2.5) 38892302.8 
   310     3    2S1 2P1 6F1         (4)3( 4.5) 38896316.2 
   311     3    2S1 2P1 6F1         (2)2( 2.5) 38897575.1 
   312     3    2S1 2P1 6F1         (2)4( 3.5) 38898592.7 
   313     3    2S1 2P1 6G1         (1)*( 2.5) 38905842.7 
   314     3    2S1 2P1 6G1         (1)*( 3.5) 38905842.7 
   315     3    2S1 2P1 6G1         (1)*( 4.5) 38905842.7 
   316     3    2S1 2P1 6G1         (1)*( 3.5) 38905842.7 
   317     3    2S1 2P1 6G1         (1)*( 4.5) 38905842.7 
   318     3    2S1 2P1 6G1         (1)*( 5.5) 38905842.7 
   319     3    2S1 2P1 6H1         (1)*( 3.5) 38906510.1 
   320     3    2S1 2P1 6H1         (1)*( 4.5) 38906510.1 
   321     3    2S1 2P1 6H1         (1)*( 5.5) 38906510.1 
   322     3    2S1 2P1 6H1         (1)*( 4.5) 38906510.1 
   323     3    2S1 2P1 6H1         (1)*( 5.5) 38906510.1 
   324     3    2S1 2P1 6H1         (1)*( 6.5) 38906510.1 
   325     1    2S2 7S1             (2)0( 0.5) 39253797.2 
   326     1    2S2 7P1             (2)1( 0.5) 39277821.5 
   327     1    2S2 7P1             (2)1( 1.5) 39297915.5 
   328     1    2S2 7D1             (2)2( 1.5) 39316727.9 
   329     1    2S2 7D1             (2)2( 2.5) 39323189.2 
   330     1    2S2 7F1             (2)3( 2.5) 39333389.8 
   331     1    2S2 7F1             (2)3( 3.5) 39336534.9 
   332     1    2S2 7G1             (1)*( 3.5) 39343275.1 
   333     1    2S2 7G1             (1)*( 4.5) 39343275.1 
   334     1    2S2 7H1             (1)*( 4.5) 39343695.4 
   335     1    2S2 7H1             (1)*( 5.5) 39343695.4 
   336     1    2S2 7I1             (1)*( 5.5) 39343883.2 
   337     1    2S2 7I1             (1)*( 6.5) 39343883.2 
   338     4    2S1 2P1 6S1         (4)1( 2.5) 39564029.5 
   339     4    2S1 2P1 6S1         (2)1( 1.5) 39573469.6 
   340     4    2S1 2P1 6P1         (4)1( 1.5) 39604792.0 
   341     4    2S1 2P1 6P1         (2)2( 2.5) 39606674.0 
   342     4    2S1 2P1 6P1         (4)2( 3.5) 39631559.1 
   343     4    2S1 2P1 6P1         (2)1( 1.5) 39635947.1 
   344     4    2S1 2P1 6P1         (4)1( 2.5) 39641411.7 
   345     4    2S1 2P1 6P1         (2)0( 0.5) 39646156.6 
   346     4    2S1 2P1 6D1         (4)2( 2.5) 39665165.1 
   347     4    2S1 2P1 6D1         (4)3( 3.5) 39666592.8 
   348     4    2S1 2P1 6D1         (4)1( 1.5) 39666761.6 
   349     4    2S1 2P1 6D1         (4)1( 0.5) 39667225.2 
   350     4    2S1 2P1 6D1         (4)3( 4.5) 39668904.0 
   351     4    2S1 2P1 6D1         (2)2( 2.5) 39678277.3 
   352     4    2S1 2P1 6D1         (2)1( 1.5) 39682308.6 
   353     4    2S1 2P1 6D1         (2)3( 3.5) 39683670.2 
   354     4    2S1 2P1 6D1         (2)1( 0.5) 39689476.5 
   355     4    2S1 2P1 6F1         (4)3( 3.5) 39690339.0 
   356     4    2S1 2P1 6F1         (4)3( 2.5) 39691075.4 
   357     4    2S1 2P1 6F1         (4)4( 4.5) 39692447.5 
   358     4    2S1 2P1 6F1         (4)2( 1.5) 39692828.4 
   359     4    2S1 2P1 6F1         (4)2( 0.5) 39694213.4 
   360     4    2S1 2P1 6F1         (4)4( 5.5) 39696216.5 
   361     4    2S1 2P1 6F1         (2)3( 3.5) 39696510.6 
   362     4    2S1 2P1 6F1         (2)4( 4.5) 39697904.9 
   363     4    2S1 2P1 6F1         (2)3( 2.5) 39698699.3 
   364     4    2S1 2P1 6F1         (2)2( 1.5) 39702056.6 
   365     4    2S1 2P1 6G1         (1)*( 1.5) 39706083.8 
   366     4    2S1 2P1 6G1         (1)*( 2.5) 39706083.8 
   367     4    2S1 2P1 6G1         (1)*( 3.5) 39706083.8 
   368     4    2S1 2P1 6G1         (1)*( 4.5) 39706083.8 
   369     4    2S1 2P1 6G1         (1)*( 5.5) 39706083.8 
   370     4    2S1 2P1 6G1         (1)*( 2.5) 39706083.8 
   371     4    2S1 2P1 6G1         (1)*( 3.5) 39706083.8 
   372     4    2S1 2P1 6G1         (1)*( 4.5) 39706083.8 
   373     4    2S1 2P1 6G1         (1)*( 5.5) 39706083.8 
   374     4    2S1 2P1 6G1         (1)*( 6.5) 39706083.8 
   375     4    2S1 2P1 6H1         (1)*( 2.5) 39706751.3 
   376     4    2S1 2P1 6H1         (1)*( 3.5) 39706751.3 
   377     4    2S1 2P1 6H1         (1)*( 4.5) 39706751.3 
   378     4    2S1 2P1 6H1         (1)*( 5.5) 39706751.3 
   379     4    2S1 2P1 6H1         (1)*( 6.5) 39706751.3 
   380     4    2S1 2P1 6H1         (1)*( 3.5) 39706751.3 
   381     4    2S1 2P1 6H1         (1)*( 4.5) 39706751.3 
   382     4    2S1 2P1 6H1         (1)*( 5.5) 39706751.3 
   383     4    2S1 2P1 6H1         (1)*( 6.5) 39706751.3 
   384     4    2S1 2P1 6H1         (1)*( 7.5) 39706751.3 
   385     2    2S1 2P1 7S1         (4)1( 0.5) 39864977.1 
   386     2    2S1 2P1 7P1         (4)2( 0.5) 39887362.9 
