SEQ='N '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 551357853.5   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   207     6    2S1 2P3 5P1         (4)1( 5.5) 34101871.4 
   208     6    2S1 2P3 5D1         (4)2( 9.5) 34181312.8 
   209     6    2S1 2P3 5F1         (4)3(13.5) 34226290.1 
   210     7    2S1 2P3 5S1         (4)0( 1.5) 34346746.5 
   211     7    2S1 2P3 5P1         (4)1( 5.5) 34423239.9 
   212     1    2S2 2P2 6S1         (4)1( 5.5) 34635386.4 
   213     1    2S2 2P2 6S1         (2)1( 2.5) 34642243.3 
   214     1    2S2 2P2 6P1         (2)0( 0.5) 34675151.8 
   215     1    2S2 2P2 6P1         (4)2( 9.5) 34679454.5 
   216     1    2S2 2P2 6P1         (4)1( 5.5) 34682322.2 
   217     1    2S2 2P2 6P1         (4)0( 1.5) 34689640.6 
   218     1    2S2 2P2 6P1         (2)2( 4.5) 34690813.6 
   219     1    2S2 2P2 6P1         (2)1( 2.5) 34696808.2 
   220     1    2S2 2P2 6D1         (4)3(13.5) 34724530.6 
   221     1    2S2 2P2 6D1         (4)2( 9.5) 34728438.7 
   222     1    2S2 2P2 6D1         (2)1( 2.5) 34729970.3 
   223     1    2S2 2P2 6D1         (4)1( 5.5) 34733787.4 
   224     1    2S2 2P2 6D1         (2)3( 6.5) 34739596.4 
   225     1    2S2 2P2 6D1         (2)2( 4.5) 34748309.2 
   226     1    2S2 2P2 6F1         (4)4(17.5) 34756701.9 
   227     1    2S2 2P2 6F1         (4)2( 9.5) 34756903.0 
   228     1    2S2 2P2 6F1         (2)2( 4.5) 34757178.2 
   229     1    2S2 2P2 6F1         (2)4( 8.5) 34759847.7 
   230     1    2S2 2P2 6F1         (4)3(13.5) 34760930.5 
   231     1    2S2 2P2 6G1         (4)3(13.5) 34762210.1 
   232     1    2S2 2P2 6G1         (2)3( 6.5) 34762210.1 
   233     1    2S2 2P2 6G1         (4)4(17.5) 34762210.1 
   234     1    2S2 2P2 6G1         (2)4( 8.5) 34762210.1 
   235     1    2S2 2P2 6G1         (4)5(21.5) 34762210.1 
   236     1    2S2 2P2 6G1         (2)5(10.5) 34762210.1 
   237     1    2S2 2P2 6H1         (4)4(17.5) 34763312.9 
   238     1    2S2 2P2 6H1         (2)4( 8.5) 34763312.9 
   239     1    2S2 2P2 6H1         (4)5(21.5) 34763312.9 
   240     1    2S2 2P2 6H1         (2)5(10.5) 34763312.9 
   241     1    2S2 2P2 6H1         (4)6(25.5) 34763312.9 
   242     1    2S2 2P2 6H1         (2)6(12.5) 34763312.9 
   243     1    2S2 2P2 6F1         (2)3( 6.5) 34765217.2 
   244     2    2S2 2P2 6S1         (2)2( 4.5) 34816874.9 
   245     2    2S2 2P2 6P1         (2)3( 6.5) 34862118.0 
   246     2    2S2 2P2 6P1         (2)2( 4.5) 34863984.5 
   247     2    2S2 2P2 6P1         (2)1( 2.5) 34869912.2 
   248     2    2S2 2P2 6D1         (2)4( 8.5) 34909062.7 
   249     2    2S2 2P2 6D1         (2)3( 6.5) 34909558.7 
   250     2    2S2 2P2 6D1         (2)2( 4.5) 34912984.8 
   251     2    2S2 2P2 6D1         (2)1( 2.5) 34918018.2 
   252     2    2S2 2P2 6D1         (2)0( 0.5) 34920768.8 
   253     2    2S2 2P2 6F1         (2)4( 8.5) 34935085.9 
   254     2    2S2 2P2 6F1         (2)3( 6.5) 34936192.9 
   255     2    2S2 2P2 6F1         (2)5(10.5) 34939805.0 
   256     2    2S2 2P2 6F1         (2)2( 4.5) 34940188.9 
   257     2    2S2 2P2 6G1         (2)2( 4.5) 34941413.0 
   258     2    2S2 2P2 6G1         (2)3( 6.5) 34941413.0 
   259     2    2S2 2P2 6G1         (2)4( 8.5) 34941413.0 
   260     2    2S2 2P2 6G1         (2)5(10.5) 34941413.0 
   261     2    2S2 2P2 6G1         (2)6(12.5) 34941413.0 
   262     2    2S2 2P2 6H1         (2)3( 6.5) 34942515.7 
   263     2    2S2 2P2 6H1         (2)4( 8.5) 34942515.7 
   264     2    2S2 2P2 6H1         (2)5(10.5) 34942515.7 
   265     2    2S2 2P2 6H1         (2)6(12.5) 34942515.7 
   266     2    2S2 2P2 6H1         (2)7(14.5) 34942515.7 
   267     2    2S2 2P2 6F1         (2)1( 2.5) 34944160.8 
   268     3    2S2 2P2 6S1         (2)0( 0.5) 35004285.6 
   269     3    2S2 2P2 6P1         (2)1( 2.5) 35051499.4 
   270     3    2S2 2P2 6D1         (2)2( 4.5) 35098801.7 
   271     3    2S2 2P2 6F1         (2)3( 6.5) 35125663.9 
   272     3    2S2 2P2 6G1         (2)4( 8.5) 35128609.5 
   273     3    2S2 2P2 6H1         (2)5(10.5) 35129712.3 
   274     4    2S1 2P3 6S1         (6)0( 2.5) 35135598.5 
   275     4    2S1 2P3 6S1         (4)0( 1.5) 35150340.9 
   276     4    2S1 2P3 6P1         (6)1( 8.5) 35181684.0 
   277     4    2S1 2P3 6P1         (4)1( 5.5) 35196338.6 
   278     4    2S1 2P3 6D1         (6)2(14.5) 35225889.2 
   279     4    2S1 2P3 6D1         (4)2( 9.5) 35247404.6 
   280     4    2S1 2P3 6F1         (6)3(20.5) 35258039.2 
   281     4    2S1 2P3 6G1         (6)4(26.5) 35262669.2 
   282     4    2S1 2P3 6G1         (4)4(17.5) 35262669.2 
   283     4    2S1 2P3 6F1         (4)3(13.5) 35263225.4 
   284     4    2S1 2P3 6H1         (6)5(32.5) 35263772.0 
   285     4    2S1 2P3 6H1         (4)5(21.5) 35263772.0 
   286    10    2P4 5P1             (2)0( 0.5) 35299768.8 
