SEQ='O '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 590072887.4   NPRNTI= 3   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)   265620.5 
     3          2S2 2P3             (2)1( 2.5)   392182.5 
     4          2S1 2P4             (4)1( 5.5)  1173486.9*
     5          2S1 2P4             (2)2( 4.5)  1608714.1*
     6          2S1 2P4             (2)0( 0.5)  1874334.6*
     7          2S1 2P4             (2)1( 2.5)  1947927.4*
     8          2P5                 (2)1( 2.5)  3080945.1*

   LS RESOLVED TERM INDEXING            BWNR= 627005032.3   NTRM= 526
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   273     3    2S2 2P3 6F1         (1)3( 3.0) 33584307.0 
   274     3    2S2 2P3 6F1         (3)3(10.0) 33584613.9 
   275     3    2S2 2P3 6F1         (1)4( 4.0) 33585940.4 
   276     3    2S2 2P3 6G1         (3)3(10.0) 33587470.8 
   277     3    2S2 2P3 6G1         (1)3( 3.0) 33587470.8 
   278     3    2S2 2P3 6G1         (3)4(13.0) 33587470.8 
   279     3    2S2 2P3 6G1         (1)4( 4.0) 33587470.8 
   280     3    2S2 2P3 6G1         (3)5(16.0) 33587470.8 
   281     3    2S2 2P3 6G1         (1)5( 5.0) 33587470.8 
   282     3    2S2 2P3 6F1         (1)2( 2.0) 33587566.4 
   283     3    2S2 2P3 6H1         (3)4(13.0) 33588796.1 
   284     3    2S2 2P3 6H1         (1)4( 4.0) 33588796.1 
   285     3    2S2 2P3 6H1         (3)5(16.0) 33588796.1 
   286     3    2S2 2P3 6H1         (1)5( 5.0) 33588796.1 
   287     3    2S2 2P3 6H1         (3)6(19.0) 33588796.1 
   288     3    2S2 2P3 6H1         (1)6( 6.0) 33588796.1 
   289     1    2S2 2P3 7S1         (5)0( 2.0) 34096230.5 
   290     1    2S2 2P3 7S1         (3)0( 1.0) 34101679.3 
   291     1    2S2 2P3 7P1         (5)1( 7.0) 34127847.2 
   292     1    2S2 2P3 7P1         (3)1( 4.0) 34135581.5 
   293     1    2S2 2P3 7D1         (5)2(12.0) 34161276.4 
   294     1    2S2 2P3 7D1         (3)2( 7.0) 34171647.3 
   295     1    2S2 2P3 7F1         (5)3(17.0) 34183894.5 
   296     1    2S2 2P3 7F1         (3)3(10.0) 34186205.8 
   297     1    2S2 2P3 7G1         (5)4(22.0) 34186986.6 
   298     1    2S2 2P3 7G1         (3)4(13.0) 34186986.6 
   299     1    2S2 2P3 7H1         (5)5(27.0) 34187821.1 
   300     1    2S2 2P3 7H1         (3)5(16.0) 34187821.1 
   301     1    2S2 2P3 7I1         (5)6(32.0) 34188193.9 
   302     1    2S2 2P3 7I1         (3)6(19.0) 34188193.9 
   303     2    2S2 2P3 7S1         (3)2( 7.0) 34363213.1 
   304     2    2S2 2P3 7S1         (1)2( 2.0) 34365937.5 
   305     2    2S2 2P3 7P1         (3)2( 7.0) 34393738.2 
   306     2    2S2 2P3 7P1         (1)1( 1.0) 34394214.9 
   307     2    2S2 2P3 7P1         (3)3(10.0) 34394678.6 
   308     2    2S2 2P3 7P1         (1)3( 3.0) 34395889.6 
   309     2    2S2 2P3 7P1         (3)1( 4.0) 34400156.8 
   310     2    2S2 2P3 7P1         (1)2( 2.0) 34407245.5 
   311     2    2S2 2P3 7D1         (1)0( 0.0) 34426896.9 
   312     2    2S2 2P3 7D1         (3)3(10.0) 34427367.1 
   313     2    2S2 2P3 7D1         (3)4(13.0) 34428518.0 
   314     2    2S2 2P3 7D1         (1)4( 4.0) 34429598.7 
   315     2    2S2 2P3 7D1         (3)2( 7.0) 34430407.7 
   316     2    2S2 2P3 7D1         (1)1( 1.0) 34431703.4 
   317     2    2S2 2P3 7D1         (3)1( 4.0) 34433919.9 
