SEQ='C '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 511255702.8   NPRNTI= 2   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)   532842.4 
     3          2S1 2P2             (2)2( 4.5)   975263.0*
     4          2S1 2P2             (2)0( 0.5)  1247274.2*
     5          2S1 2P2             (2)1( 2.5)  1316081.8*
     6          2P3                 (4)0( 1.5)  1694161.8*
     7          2P3                 (2)2( 4.5)  1966173.0*
     8          2P3                 (2)1( 2.5)  2210994.3*

   LS RESOLVED TERM INDEXING            BWNR= 551357853.5   NTRM= 520
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   126     5    2S1 2P2 4P1         (3)2( 7.0) 31794020.7 
   127     5    2S1 2P2 4P1         (3)1( 4.0) 31807403.4 
   128     5    2S1 2P2 4P1         (3)0( 1.0) 31826399.3 
   129     4    2S1 2P2 4D1         (3)2( 7.0) 31868117.1 
   130     5    2S1 2P2 4D1         (3)3(10.0) 31924976.8 
   131     5    2S1 2P2 4D1         (3)2( 7.0) 31943125.6 
   132     4    2S1 2P2 4F1         (3)3(10.0) 31950332.8 
   133     5    2S1 2P2 4D1         (3)1( 4.0) 31954443.5 
   134     5    2S1 2P2 4F1         (3)2( 7.0) 32010773.8 
   135     6    2P3 4P1             (3)1( 4.0) 32221278.7 
   136     6    2P3 4D1             (3)2( 7.0) 32367446.1 
   137     7    2P3 4P1             (3)2( 7.0) 32448778.0 
   138     7    2P3 4P1             (1)1( 1.0) 32450038.8 
   139     7    2P3 4P1             (1)2( 2.0) 32539734.5 
   140     8    2P3 4S1             (3)1( 4.0) 32572061.9 
   141     7    2P3 4D1             (3)3(10.0) 32578192.5 
   142     8    2P3 4S1             (1)1( 1.0) 32590196.3 
   143     7    2P3 4D1             (1)1( 1.0) 32606533.1 
   144     7    2P3 4D1             (1)2( 2.0) 32648758.3 
   145     7    2P3 4F1             (3)4(13.0) 32666848.7 
   146     7    2P3 4D1             (1)3( 3.0) 32670022.1 
   147     7    2P3 4F1             (3)2( 7.0) 32670351.6 
   148     7    2P3 4F1             (1)2( 2.0) 32672463.9 
   149     8    2P3 4P1             (3)2( 7.0) 32698286.1 
   150     8    2P3 4P1             (1)1( 1.0) 32704488.6 
   151     8    2P3 4P1             (3)1( 4.0) 32723189.2 
   152     8    2P3 4P1             (1)0( 0.0) 32812194.5 
   153     8    2P3 4D1             (3)3(10.0) 32829147.5 
   154     8    2P3 4D1             (1)2( 2.0) 32846727.2 
   155     8    2P3 4D1             (3)2( 7.0) 32855717.2 
   156     8    2P3 4D1             (1)1( 1.0) 32924179.8 
   157     1    2S2 2P1 5S1         (3)1( 4.0) 33903670.7 
   158     1    2S2 2P1 5S1         (1)1( 1.0) 33912154.4 
   159     1    2S2 2P1 5P1         (1)1( 1.0) 33965264.3 
   160     1    2S2 2P1 5P1         (3)2( 7.0) 33970545.0 
   161     1    2S2 2P1 5P1         (3)0( 1.0) 33978460.5 
   162     1    2S2 2P1 5P1         (3)1( 4.0) 33983387.4 
   163     1    2S2 2P1 5P1         (1)2( 2.0) 33996150.2 
   164     1    2S2 2P1 5P1         (1)0( 0.0) 34016081.1 
   165     1    2S2 2P1 5D1         (1)2( 2.0) 34034750.0 
   166     1    2S2 2P1 5D1         (3)3(10.0) 34035595.7 
   167     1    2S2 2P1 5D1         (3)2( 7.0) 34047583.4 
   168     1    2S2 2P1 5D1         (3)1( 4.0) 34050320.1 
   169     1    2S2 2P1 5D1         (1)1( 1.0) 34070960.8 
   170     1    2S2 2P1 5D1         (1)3( 3.0) 34071380.5 
   171     1    2S2 2P1 5F1         (1)3( 3.0) 34078898.5 
   172     1    2S2 2P1 5F1         (3)3(10.0) 34080272.3 
   173     1    2S2 2P1 5F1         (3)4(13.0) 34085500.0 
   174     1    2S2 2P1 5G1         (3)3(10.0) 34089783.0 
   175     1    2S2 2P1 5G1         (1)3( 3.0) 34089783.0 
   176     1    2S2 2P1 5G1         (3)4(13.0) 34089783.0 
   177     1    2S2 2P1 5G1         (1)4( 4.0) 34089783.0 
   178     1    2S2 2P1 5G1         (3)5(16.0) 34089783.0 
   179     1    2S2 2P1 5G1         (1)5( 5.0) 34089783.0 
   180     1    2S2 2P1 5F1         (3)2( 7.0) 34090213.1 
   181     1    2S2 2P1 5F1         (1)4( 4.0) 34092112.2 
   182     1    2S2 2P1 5F1         (1)2( 2.0) 34093935.2 
   183     2    2S1 2P2 5S1         (5)1( 7.0) 34435797.3 
   184     2    2S1 2P2 5S1         (3)1( 4.0) 34459458.1 
   185     2    2S1 2P2 5P1         (3)0( 1.0) 34503255.4 
   186     2    2S1 2P2 5P1         (5)2(12.0) 34503764.2 
   187     2    2S1 2P2 5P1         (5)1( 7.0) 34509251.2 
   188     2    2S1 2P2 5P1         (5)0( 2.0) 34523108.2 
   189     2    2S1 2P2 5P1         (3)2( 7.0) 34527757.9 
   190     2    2S1 2P2 5P1         (3)1( 4.0) 34538107.2 
   191     2    2S1 2P2 5D1         (5)3(17.0) 34564957.1 
   192     2    2S1 2P2 5D1         (5)2(12.0) 34572501.7 
   193     2    2S1 2P2 5D1         (5)1( 7.0) 34582460.0 
   194     2    2S1 2P2 5D1         (3)1( 4.0) 34586028.7 
   195     2    2S1 2P2 5D1         (3)3(10.0) 34600761.1 
   196     2    2S1 2P2 5F1         (5)4(22.0) 34613935.4 
   197     2    2S1 2P2 5F1         (5)2(12.0) 34613981.4 
   198     2    2S1 2P2 5D1         (3)2( 7.0) 34615693.6 
   199     2    2S1 2P2 5F1         (3)2( 7.0) 34617368.5 
   200     2    2S1 2P2 5F1         (3)4(13.0) 34621795.0 
   201     2    2S1 2P2 5F1         (5)3(17.0) 34622163.7 
   202     2    2S1 2P2 5G1         (5)3(17.0) 34622625.5 
   203     2    2S1 2P2 5G1         (3)3(10.0) 34622625.5 
   204     2    2S1 2P2 5G1         (5)4(22.0) 34622625.5 
   205     2    2S1 2P2 5G1         (3)4(13.0) 34622625.5 
   206     2    2S1 2P2 5G1         (5)5(27.0) 34622625.5 
   207     2    2S1 2P2 5G1         (3)5(16.0) 34622625.5 
   208     2    2S1 2P2 5F1         (3)3(10.0) 34631704.5 
   209     3    2S1 2P2 5P1         (3)2( 7.0) 34955897.8 
   210     3    2S1 2P2 5P1         (3)1( 4.0) 34966876.2 
   211     3    2S1 2P2 5D1         (3)3(10.0) 35017776.9 
   212     3    2S1 2P2 5D1         (3)2( 7.0) 35024711.2 
   213     3    2S1 2P2 5D1         (3)1( 4.0) 35034105.6 
   214     3    2S1 2P2 5F1         (3)4(13.0) 35054470.4 
   215     3    2S1 2P2 5F1         (3)2( 7.0) 35064239.2 
   216     5    2S1 2P2 5S1         (3)1( 4.0) 35226669.4 
   217     4    2S1 2P2 5P1         (3)1( 4.0) 35228391.8 
   218     5    2S1 2P2 5P1         (3)2( 7.0) 35292001.1 
   219     4    2S1 2P2 5D1         (3)2( 7.0) 35293780.8 
   220     5    2S1 2P2 5P1         (3)1( 4.0) 35298268.8 
   221     5    2S1 2P2 5P1         (3)0( 1.0) 35305885.8 
   222     4    2S1 2P2 5F1         (3)3(10.0) 35333040.2 
   223     5    2S1 2P2 5D1         (3)3(10.0) 35356787.1 
   224     5    2S1 2P2 5D1         (3)2( 7.0) 35365269.1 
   225     5    2S1 2P2 5D1         (3)1( 4.0) 35370229.5 
   226     5    2S1 2P2 5F1         (3)2( 7.0) 35398784.9 
   227     6    2P3 5P1             (3)1( 4.0) 35695265.3 
   228     6    2P3 5D1             (3)2( 7.0) 35767404.4 
   229     1    2S2 2P1 6S1         (3)1( 4.0) 35820749.1 
   230     1    2S2 2P1 6S1         (1)1( 1.0) 35825430.4 
   231     1    2S2 2P1 6P1         (1)1( 1.0) 35856393.6 
   232     1    2S2 2P1 6P1         (3)2( 7.0) 35859344.0 
   233     1    2S2 2P1 6P1         (3)0( 1.0) 35863767.9 
   234     1    2S2 2P1 6P1         (3)1( 4.0) 35866209.7 
   235     1    2S2 2P1 6P1         (1)2( 2.0) 35873323.6 
   236     1    2S2 2P1 6P1         (1)0( 0.0) 35884421.8 
   237     1    2S2 2P1 6D1         (1)2( 2.0) 35895828.9 
   238     1    2S2 2P1 6D1         (3)3(10.0) 35896332.2 
   239     1    2S2 2P1 6D1         (3)2( 7.0) 35902858.7 
   240     1    2S2 2P1 6D1         (3)1( 4.0) 35904421.4 
   241     1    2S2 2P1 6D1         (1)1( 1.0) 35915851.2 
   242     1    2S2 2P1 6D1         (1)3( 3.0) 35916013.8 
   243     1    2S2 2P1 6F1         (1)3( 3.0) 35920568.7 
   244     1    2S2 2P1 6F1         (3)3(10.0) 35921427.5 
   245     1    2S2 2P1 6F1         (3)4(13.0) 35924118.3 
   246     1    2S2 2P1 6F1         (3)2( 7.0) 35926863.0 
   247     1    2S2 2P1 6G1         (3)3(10.0) 35927259.8 
   248     1    2S2 2P1 6G1         (1)3( 3.0) 35927259.8 
   249     1    2S2 2P1 6G1         (3)4(13.0) 35927259.8 
   250     1    2S2 2P1 6G1         (1)4( 4.0) 35927259.8 
   251     1    2S2 2P1 6G1         (3)5(16.0) 35927259.8 
   252     1    2S2 2P1 6G1         (1)5( 5.0) 35927259.8 
   253     1    2S2 2P1 6H1         (3)4(13.0) 35928141.7 
   254     1    2S2 2P1 6H1         (1)4( 4.0) 35928141.7 
   255     1    2S2 2P1 6H1         (3)5(16.0) 35928141.7 
   256     1    2S2 2P1 6H1         (1)5( 5.0) 35928141.7 
   257     1    2S2 2P1 6H1         (3)6(19.0) 35928141.7 
   258     1    2S2 2P1 6H1         (1)6( 6.0) 35928141.7 
   259     1    2S2 2P1 6F1         (1)4( 4.0) 35928263.3 
   260     1    2S2 2P1 6F1         (1)2( 2.0) 35929205.2 
   261     7    2P3 5P1             (1)1( 1.0) 35946156.6 
   262     7    2P3 5D1             (1)1( 1.0) 36022680.9 
   263     7    2P3 5D1             (1)2( 2.0) 36043608.4 
   264     7    2P3 5F1             (1)2( 2.0) 36055509.7 
   265     8    2P3 5S1             (3)1( 4.0) 36126759.1 
   266     8    2P3 5S1             (1)1( 1.0) 36135242.8 
   267     8    2P3 5P1             (1)1( 1.0) 36193934.4 
   268     8    2P3 5P1             (1)0( 0.0) 36243937.3 
   269     8    2P3 5D1             (1)2( 2.0) 36262723.9 
   270     8    2P3 5D1             (1)1( 1.0) 36299994.2 
   271     2    2S1 2P2 6S1         (5)1( 7.0) 36353256.7 
   272     2    2S1 2P2 6S1         (3)1( 4.0) 36366235.0 
   273     2    2S1 2P2 6P1         (3)0( 1.0) 36392137.3 
   274     2    2S1 2P2 6P1         (5)2(12.0) 36392445.6 
   275     2    2S1 2P2 6P1         (5)1( 7.0) 36395512.3 
   276     2    2S1 2P2 6P1         (5)0( 2.0) 36402782.0 
   277     2    2S1 2P2 6P1         (3)2( 7.0) 36405764.2 
   278     2    2S1 2P2 6P1         (3)1( 4.0) 36411568.5 
   279     2    2S1 2P2 6D1         (5)3(17.0) 36427345.9 
   280     2    2S1 2P2 6D1         (5)2(12.0) 36431522.2 
   281     2    2S1 2P2 6D1         (5)1( 7.0) 36436910.8 
   282     2    2S1 2P2 6D1         (3)1( 4.0) 36438938.3 
   283     2    2S1 2P2 6D1         (3)3(10.0) 36447176.7 
   284     2    2S1 2P2 6F1         (5)4(22.0) 36454517.4 
   285     2    2S1 2P2 6F1         (5)2(12.0) 36454754.4 
   286     2    2S1 2P2 6D1         (3)2( 7.0) 36455289.6 
   287     2    2S1 2P2 6F1         (3)2( 7.0) 36456867.5 
   288     2    2S1 2P2 6F1         (5)3(17.0) 36459067.3 
   289     2    2S1 2P2 6F1         (3)4(13.0) 36459431.9 
   290     2    2S1 2P2 6G1         (5)3(17.0) 36460102.2 
   291     2    2S1 2P2 6G1         (3)3(10.0) 36460102.2 
   292     2    2S1 2P2 6G1         (5)4(22.0) 36460102.2 
   293     2    2S1 2P2 6G1         (3)4(13.0) 36460102.2 
   294     2    2S1 2P2 6G1         (5)5(27.0) 36460102.2 
   295     2    2S1 2P2 6G1         (3)5(16.0) 36460102.2 
   296     2    2S1 2P2 6H1         (5)4(22.0) 36460984.2 
   297     2    2S1 2P2 6H1         (3)4(13.0) 36460984.2 
   298     2    2S1 2P2 6H1         (5)5(27.0) 36460984.2 
   299     2    2S1 2P2 6H1         (3)5(16.0) 36460984.2 
   300     2    2S1 2P2 6H1         (5)6(32.0) 36460984.2 
   301     2    2S1 2P2 6H1         (3)6(19.0) 36460984.2 
   302     2    2S1 2P2 6F1         (3)3(10.0) 36465035.6 
   303     3    2S1 2P2 6P1         (3)2( 7.0) 36839927.8 
   304     3    2S1 2P2 6P1         (3)1( 4.0) 36846173.4 
   305     3    2S1 2P2 6D1         (3)3(10.0) 36875263.0 
   306     3    2S1 2P2 6D1         (3)2( 7.0) 36879305.8 
   307     3    2S1 2P2 6D1         (3)1( 4.0) 36884433.5 
   308     3    2S1 2P2 6F1         (3)4(13.0) 36896053.9 
   309     3    2S1 2P2 6F1         (3)2( 7.0) 36901543.1 
   310     1    2S2 2P1 7S1         (3)1( 4.0) 36968464.2 
   311     1    2S2 2P1 7S1         (1)1( 1.0) 36971329.1 
   312     1    2S2 2P1 7P1         (1)1( 1.0) 36990892.5 
   313     1    2S2 2P1 7P1         (3)2( 7.0) 36992707.3 
   314     1    2S2 2P1 7P1         (3)0( 1.0) 36995428.9 
   315     1    2S2 2P1 7P1         (3)1( 4.0) 36996837.2 
   316     1    2S2 2P1 7P1         (1)2( 2.0) 37001213.3 
   317     1    2S2 2P1 7P1         (1)0( 0.0) 37008036.6 
   318     1    2S2 2P1 7D1         (1)2( 2.0) 37015434.5 
   319     1    2S2 2P1 7D1         (3)3(10.0) 37015753.5 
   320     1    2S2 2P1 7D1         (3)2( 7.0) 37019720.0 
   321     1    2S2 2P1 7D1         (3)1( 4.0) 37020691.7 
   322     1    2S2 2P1 7D1         (1)1( 1.0) 37027704.1 
   323     1    2S2 2P1 7D1         (1)3( 3.0) 37027780.2 
   324     1    2S2 2P1 7F1         (1)3( 3.0) 37030725.0 
   325     1    2S2 2P1 7F1         (3)3(10.0) 37031286.1 
   326     1    2S2 2P1 7F1         (3)4(13.0) 37032865.3 
   327     1    2S2 2P1 7F1         (3)2( 7.0) 37034596.1 
   328     1    2S2 2P1 7G1         (3)3(10.0) 37035075.1 
   329     1    2S2 2P1 7G1         (1)3( 3.0) 37035075.1 
   330     1    2S2 2P1 7G1         (3)4(13.0) 37035075.1 
   331     1    2S2 2P1 7G1         (1)4( 4.0) 37035075.1 
   332     1    2S2 2P1 7G1         (3)5(16.0) 37035075.1 
   333     1    2S2 2P1 7G1         (1)5( 5.0) 37035075.1 
   334     1    2S2 2P1 7F1         (1)4( 4.0) 37035577.9 
   335     1    2S2 2P1 7H1         (3)4(13.0) 37035630.5 
   336     1    2S2 2P1 7H1         (1)4( 4.0) 37035630.5 
   337     1    2S2 2P1 7H1         (3)5(16.0) 37035630.5 
   338     1    2S2 2P1 7H1         (1)5( 5.0) 37035630.5 
   339     1    2S2 2P1 7H1         (3)6(19.0) 37035630.5 
   340     1    2S2 2P1 7H1         (1)6( 6.0) 37035630.5 
   341     1    2S2 2P1 7I1         (3)5(16.0) 37035878.6 
   342     1    2S2 2P1 7I1         (1)5( 5.0) 37035878.6 
   343     1    2S2 2P1 7I1         (3)6(19.0) 37035878.6 
   344     1    2S2 2P1 7I1         (1)6( 6.0) 37035878.6 
   345     1    2S2 2P1 7I1         (3)7(22.0) 37035878.6 
   346     1    2S2 2P1 7I1         (1)7( 7.0) 37035878.6 
   347     1    2S2 2P1 7F1         (1)2( 2.0) 37036132.4 
   348     4    2S1 2P2 6P1         (3)1( 4.0) 37112455.9 
   349     5    2S1 2P2 6S1         (3)1( 4.0) 37140657.3 
   350     4    2S1 2P2 6D1         (3)2( 7.0) 37149677.3 
   351     4    2S1 2P2 6F1         (3)3(10.0) 37171634.8 
   352     5    2S1 2P2 6P1         (3)2( 7.0) 37178410.8 
   353     5    2S1 2P2 6P1         (3)1( 4.0) 37181870.8 
   354     5    2S1 2P2 6P1         (3)0( 1.0) 37185760.0 
   355     5    2S1 2P2 6D1         (3)3(10.0) 37215229.6 
   356     5    2S1 2P2 6D1         (3)2( 7.0) 37219903.5 
   357     5    2S1 2P2 6D1         (3)1( 4.0) 37222560.2 
   358     5    2S1 2P2 6F1         (3)2( 7.0) 37238963.8 
   359     2    2S1 2P2 7S1         (5)1( 7.0) 37501123.7 
   360     2    2S1 2P2 7S1         (3)1( 4.0) 37509038.9 
